id,nome,preco,taxa
96,Eletronico 96,2344.8,0.1
97,Eletronico 97,3111.38,0.15
98,Eletronico 98,2499.64,0.19
99,Eletronico 99,1449.17,0.1
100,Eletronico 100,2205.35,0.08
101,Eletronico 101,561.19,0.1
102,Eletronico 102,3086.7,0.2
103,Eletronico 103,4840.74,0.2
104,Eletronico 104,1638.52,0.09
105,Eletronico 105,1606.09,0.16
106,Eletronico 106,4037.96,0.19
107,Eletronico 107,4716.62,0.12
108,Eletronico 108,695.38,0.18
109,Eletronico 109,4123.12,0.2
110,Eletronico 110,695.2,0.16
111,Eletronico 111,11.24,0.07
112,Eletronico 112,4970.02,0.1
113,Eletronico 113,2730.01,0.06
114,Eletronico 114,3212.0,0.05
115,Eletronico 115,4612.99,0.16
116,Eletronico 116,4322.21,0.1
117,Eletronico 117,4428.76,0.08
118,Eletronico 118,786.97,0.07
119,Eletronico 119,3140.53,0.14
120,Eletronico 120,4567.35,0.16
121,Eletronico 121,3235.16,0.1
122,Eletronico 122,632.31,0.06
123,Eletronico 123,3825.62,0.15
124,Eletronico 124,3286.2,0.07
125,Eletronico 125,2978.7,0.08
126,Eletronico 126,2013.16,0.16
127,Eletronico 127,1790.7,0.19
128,Eletronico 128,2231.35,0.18
129,Eletronico 129,118.72,0.16
130,Eletronico 130,3036.89,0.09
131,Eletronico 131,4078.27,0.14
132,Eletronico 132,1831.71,0.18
133,Eletronico 133,1435.35,0.14
134,Eletronico 134,2433.01,0.08
135,Eletronico 135,3837.31,0.07
136,Eletronico 136,3992.0,0.09
137,Eletronico 137,4936.37,0.15
138,Eletronico 138,2591.44,0.12
139,Eletronico 139,2831.83,0.08
140,Eletronico 140,2535.95,0.08
141,Eletronico 141,2959.28,0.14
142,Eletronico 142,4405.72,0.11
143,Eletronico 143,4304.7,0.09
144,Eletronico 144,1910.41,0.09
145,Eletronico 145,1178.61,0.14
146,Eletronico 146,777.41,0.15
147,Eletronico 147,3829.54,0.11
148,Eletronico 148,2535.46,0.14
149,Eletronico 149,4395.62,0.09
150,Eletronico 150,1023.05,0.1
151,Eletronico 151,282.3,0.06
152,Eletronico 152,56.35,0.2
153,Eletronico 153,2987.99,0.16
154,Eletronico 154,1100.28,0.18
155,Eletronico 155,540.15,0.13
156,Eletronico 156,1841.56,0.18
157,Eletronico 157,3320.76,0.09
158,Eletronico 158,2733.34,0.1
159,Eletronico 159,359.83,0.06
160,Eletronico 160,1718.81,0.11
161,Eletronico 161,503.42,0.17
162,Eletronico 162,2156.22,0.13
163,Eletronico 163,3405.87,0.2
164,Eletronico 164,3277.19,0.14
165,Eletronico 165,975.14,0.12
166,Eletronico 166,225.28,0.15
167,Eletronico 167,628.76,0.06
168,Eletronico 168,4439.48,0.14
169,Eletronico 169,4862.23,0.11
170,Eletronico 170,83.54,0.12
171,Eletronico 171,2539.36,0.17
172,Eletronico 172,1752.87,0.11
173,Eletronico 173,2760.12,0.08
174,Eletronico 174,3408.25,0.09
175,Eletronico 175,4248.78,0.16
176,Eletronico 176,1582.59,0.14
177,Eletronico 177,3791.73,0.09
178,Eletronico 178,2282.16,0.05
179,Eletronico 179,31.98,0.17
180,Eletronico 180,4366.55,0.15
181,Eletronico 181,2645.06,0.09
182,Eletronico 182,1475.16,0.13
183,Eletronico 183,4099.02,0.08
184,Eletronico 184,4586.86,0.13
185,Eletronico 185,4245.79,0.05
186,Eletronico 186,1727.44,0.13
187,Eletronico 187,3642.56,0.05
188,Eletronico 188,1104.5,0.15
189,Eletronico 189,450.21,0.09
190,Eletronico 190,18.42,0.18
191,Eletronico 191,1916.85,0.08
192,Eletronico 192,2768.36,0.14
193,Eletronico 193,732.56,0.11
194,Eletronico 194,2857.99,0.15
195,Eletronico 195,1174.35,0.15
196,Eletronico 196,930.99,0.09
197,Eletronico 197,2636.4,0.17
198,Eletronico 198,3547.94,0.2
199,Eletronico 199,154.61,0.13
200,Eletronico 200,3086.36,0.17
201,Eletronico 201,3068.5,0.17
202,Eletronico 202,1805.39,0.12
203,Eletronico 203,2335.64,0.16
204,Eletronico 204,362.37,0.05
205,Eletronico 205,1386.2,0.16
206,Eletronico 206,2634.75,0.15
207,Eletronico 207,4403.63,0.16
208,Eletronico 208,4728.25,0.15
209,Eletronico 209,1956.5,0.11
210,Eletronico 210,3353.01,0.08
211,Eletronico 211,4869.01,0.15
212,Eletronico 212,3054.43,0.11
213,Eletronico 213,1728.93,0.07
214,Eletronico 214,1702.62,0.06
215,Eletronico 215,750.33,0.14
216,Eletronico 216,4668.47,0.11
217,Eletronico 217,3332.65,0.06
218,Eletronico 218,2076.48,0.17
219,Eletronico 219,2027.5,0.08
220,Eletronico 220,4176.47,0.14
221,Eletronico 221,2014.65,0.06
222,Eletronico 222,163.42,0.05
223,Eletronico 223,3546.56,0.09
224,Eletronico 224,750.29,0.1
225,Eletronico 225,1211.49,0.13
226,Eletronico 226,4749.71,0.11
227,Eletronico 227,209.38,0.14
228,Eletronico 228,2507.28,0.18
229,Eletronico 229,2027.27,0.15
230,Eletronico 230,2668.0,0.11
231,Eletronico 231,1741.82,0.15
232,Eletronico 232,4229.4,0.16
233,Eletronico 233,38.39,0.08
234,Eletronico 234,1282.61,0.05
235,Eletronico 235,1181.5,0.09
236,Eletronico 236,2127.45,0.16
237,Eletronico 237,3945.34,0.17
238,Eletronico 238,4694.06,0.14
239,Eletronico 239,169.43,0.15
240,Eletronico 240,2443.58,0.09
241,Eletronico 241,986.72,0.18
242,Eletronico 242,4204.68,0.18
243,Eletronico 243,1431.1,0.05
244,Eletronico 244,3363.49,0.11
245,Eletronico 245,2732.18,0.14
246,Eletronico 246,2136.58,0.1
247,Eletronico 247,3902.04,0.14
248,Eletronico 248,4915.98,0.08
249,Eletronico 249,1770.6,0.16
250,Eletronico 250,650.51,0.11
251,Eletronico 251,4997.54,0.14
252,Eletronico 252,4221.47,0.14
253,Eletronico 253,1080.59,0.17
254,Eletronico 254,3421.72,0.18
255,Eletronico 255,3916.59,0.14
256,Eletronico 256,1961.08,0.14
257,Eletronico 257,356.87,0.14
258,Eletronico 258,81.57,0.15
259,Eletronico 259,4970.39,0.12
260,Eletronico 260,3266.69,0.2
261,Eletronico 261,1748.84,0.17
262,Eletronico 262,4124.47,0.11
263,Eletronico 263,797.4,0.07
264,Eletronico 264,3898.13,0.05
265,Eletronico 265,4595.67,0.15
266,Eletronico 266,258.34,0.11
267,Eletronico 267,864.71,0.13
268,Eletronico 268,4766.05,0.06
269,Eletronico 269,269.08,0.11
270,Eletronico 270,2591.31,0.15
271,Eletronico 271,626.44,0.13
272,Eletronico 272,400.26,0.17
273,Eletronico 273,637.8,0.13
274,Eletronico 274,4932.49,0.08
275,Eletronico 275,1891.0,0.07
276,Eletronico 276,2665.89,0.18
277,Eletronico 277,1850.32,0.17
278,Eletronico 278,335.59,0.09
279,Eletronico 279,2269.09,0.05
280,Eletronico 280,4414.07,0.18
281,Eletronico 281,4509.74,0.19
282,Eletronico 282,1015.49,0.18
283,Eletronico 283,1581.45,0.09
284,Eletronico 284,3081.28,0.07
285,Eletronico 285,258.0,0.09
286,Eletronico 286,698.51,0.1
287,Eletronico 287,3075.04,0.14
288,Eletronico 288,4819.87,0.15
289,Eletronico 289,2824.12,0.1
290,Eletronico 290,2394.74,0.15
291,Eletronico 291,898.72,0.08
292,Eletronico 292,1423.27,0.17
293,Eletronico 293,3669.99,0.1
294,Eletronico 294,4520.23,0.08
295,Eletronico 295,4697.21,0.1
296,Eletronico 296,1036.28,0.14
297,Eletronico 297,1181.0,0.16
298,Eletronico 298,4812.37,0.12
299,Eletronico 299,2171.83,0.12
300,Eletronico 300,2881.07,0.06
301,Eletronico 301,650.62,0.14
302,Eletronico 302,441.34,0.11
303,Eletronico 303,202.22,0.16
304,Eletronico 304,275.5,0.2
305,Eletronico 305,2438.35,0.14
306,Eletronico 306,1702.33,0.18
307,Eletronico 307,2338.4,0.19
308,Eletronico 308,4489.92,0.13
309,Eletronico 309,3096.86,0.13
310,Eletronico 310,140.92,0.14
311,Eletronico 311,272.3,0.15
312,Eletronico 312,2814.35,0.09
313,Eletronico 313,1443.62,0.15
314,Eletronico 314,349.66,0.16
315,Eletronico 315,1586.42,0.09
316,Eletronico 316,4935.09,0.11
317,Eletronico 317,381.62,0.16
318,Eletronico 318,3248.12,0.19
319,Eletronico 319,4106.2,0.05
320,Eletronico 320,2830.45,0.15
321,Eletronico 321,3673.82,0.06
322,Eletronico 322,3697.58,0.14
323,Eletronico 323,2321.3,0.19
324,Eletronico 324,3730.29,0.18
325,Eletronico 325,1670.28,0.16
326,Eletronico 326,2253.12,0.1
327,Eletronico 327,4955.21,0.14
328,Eletronico 328,2320.25,0.15
329,Eletronico 329,2859.9,0.18
330,Eletronico 330,2496.68,0.16
331,Eletronico 331,2124.32,0.14
332,Eletronico 332,3969.67,0.13
333,Eletronico 333,4345.34,0.11
334,Eletronico 334,3799.77,0.18
335,Eletronico 335,4635.62,0.16
336,Eletronico 336,390.0,0.09
337,Eletronico 337,2471.56,0.15
338,Eletronico 338,270.38,0.05
339,Eletronico 339,4418.29,0.16
340,Eletronico 340,341.69,0.15
341,Eletronico 341,2977.26,0.11
342,Eletronico 342,1688.73,0.19
343,Eletronico 343,4504.51,0.12
344,Eletronico 344,412.22,0.1
345,Eletronico 345,903.34,0.16
346,Eletronico 346,4929.72,0.11
347,Eletronico 347,2682.87,0.2
348,Eletronico 348,4412.44,0.05
349,Eletronico 349,3224.41,0.16
350,Eletronico 350,3715.49,0.06
351,Eletronico 351,2882.07,0.18
352,Eletronico 352,2612.4,0.06
353,Eletronico 353,4845.73,0.17
354,Eletronico 354,170.42,0.13
355,Eletronico 355,1758.1,0.12
356,Eletronico 356,3984.71,0.12
357,Eletronico 357,2176.84,0.11
358,Eletronico 358,624.57,0.12
359,Eletronico 359,2382.5,0.13
360,Eletronico 360,3285.75,0.19
361,Eletronico 361,210.03,0.13
362,Eletronico 362,2842.2,0.05
363,Eletronico 363,2331.8,0.2
364,Eletronico 364,793.39,0.06
365,Eletronico 365,3580.72,0.1
366,Eletronico 366,2830.15,0.19
367,Eletronico 367,3542.36,0.11
368,Eletronico 368,407.59,0.09
369,Eletronico 369,3751.58,0.1
370,Eletronico 370,3772.2,0.17
371,Eletronico 371,517.3,0.15
372,Eletronico 372,2587.7,0.15
373,Eletronico 373,4635.37,0.14
374,Eletronico 374,260.4,0.07
375,Eletronico 375,3426.94,0.14
376,Eletronico 376,215.49,0.2
377,Eletronico 377,1602.53,0.19
378,Eletronico 378,4846.3,0.07
379,Eletronico 379,3857.96,0.07
380,Eletronico 380,2852.89,0.13
381,Eletronico 381,1694.93,0.15
382,Eletronico 382,576.71,0.19
383,Eletronico 383,4791.31,0.09
384,Eletronico 384,4710.63,0.14
385,Eletronico 385,893.19,0.14
386,Eletronico 386,1419.63,0.17
387,Eletronico 387,4320.13,0.07
388,Eletronico 388,4514.61,0.06
389,Eletronico 389,2766.43,0.12
390,Eletronico 390,606.78,0.11
391,Eletronico 391,4937.67,0.19
392,Eletronico 392,587.1,0.15
393,Eletronico 393,3693.91,0.11
394,Eletronico 394,2700.08,0.15
395,Eletronico 395,3342.2,0.11
396,Eletronico 396,2816.52,0.16
397,Eletronico 397,1035.53,0.08
398,Eletronico 398,875.56,0.16
399,Eletronico 399,877.11,0.13
400,Eletronico 400,2452.94,0.14
401,Eletronico 401,2209.84,0.08
402,Eletronico 402,1312.82,0.19
403,Eletronico 403,4442.6,0.18
404,Eletronico 404,4807.05,0.11
405,Eletronico 405,146.56,0.19
406,Eletronico 406,1206.07,0.08
407,Eletronico 407,4567.58,0.09
408,Eletronico 408,592.8,0.13
409,Eletronico 409,2294.79,0.12
410,Eletronico 410,66.91,0.17
411,Eletronico 411,911.22,0.16
412,Eletronico 412,4759.11,0.1
413,Eletronico 413,1976.21,0.07
414,Eletronico 414,1936.81,0.06
415,Eletronico 415,3996.6,0.14
416,Eletronico 416,1226.02,0.12
417,Eletronico 417,2216.88,0.15
418,Eletronico 418,2599.89,0.06
419,Eletronico 419,65.37,0.18
420,Eletronico 420,2599.57,0.13
421,Eletronico 421,3812.06,0.14
422,Eletronico 422,633.68,0.13
423,Eletronico 423,3856.71,0.08
424,Eletronico 424,3495.07,0.1
425,Eletronico 425,4781.29,0.05
426,Eletronico 426,541.09,0.19
427,Eletronico 427,2794.32,0.1
428,Eletronico 428,4890.15,0.11
429,Eletronico 429,1405.59,0.13
430,Eletronico 430,4948.39,0.09
431,Eletronico 431,1372.59,0.18
432,Eletronico 432,4288.54,0.08
433,Eletronico 433,1702.28,0.19
434,Eletronico 434,21.42,0.17
435,Eletronico 435,2049.39,0.06
436,Eletronico 436,1902.24,0.13
437,Eletronico 437,4647.71,0.2
438,Eletronico 438,1840.14,0.18
439,Eletronico 439,953.51,0.09
440,Eletronico 440,3629.8,0.17
441,Eletronico 441,1256.23,0.18
442,Eletronico 442,3417.21,0.13
443,Eletronico 443,4553.83,0.13
444,Eletronico 444,4579.76,0.13
445,Eletronico 445,1551.95,0.2
446,Eletronico 446,3850.65,0.16
447,Eletronico 447,2972.39,0.15
448,Eletronico 448,4515.6,0.07
449,Eletronico 449,2388.81,0.16
450,Eletronico 450,989.51,0.19
451,Eletronico 451,4600.3,0.19
452,Eletronico 452,1283.43,0.15
453,Eletronico 453,2332.17,0.13
454,Eletronico 454,4426.29,0.08
455,Eletronico 455,3642.57,0.08
456,Eletronico 456,1757.86,0.06
457,Eletronico 457,4269.96,0.06
458,Eletronico 458,3341.8,0.07
459,Eletronico 459,812.46,0.18
460,Eletronico 460,838.29,0.18
461,Eletronico 461,321.46,0.12
462,Eletronico 462,201.04,0.08
463,Eletronico 463,1517.27,0.15
464,Eletronico 464,3413.52,0.05
465,Eletronico 465,1349.85,0.17
466,Eletronico 466,2032.76,0.15
467,Eletronico 467,4401.61,0.18
468,Eletronico 468,3463.21,0.1
469,Eletronico 469,4057.55,0.07
470,Eletronico 470,925.65,0.19
471,Eletronico 471,4486.08,0.14
472,Eletronico 472,46.89,0.06
473,Eletronico 473,4432.81,0.09
474,Eletronico 474,2649.11,0.2
475,Eletronico 475,1706.48,0.19
476,Eletronico 476,1580.97,0.14
477,Eletronico 477,3925.39,0.12
478,Eletronico 478,1641.9,0.05
479,Eletronico 479,1040.9,0.09
480,Eletronico 480,2699.84,0.12
481,Eletronico 481,2254.89,0.1
482,Eletronico 482,2635.89,0.08
483,Eletronico 483,3439.95,0.17
484,Eletronico 484,4197.73,0.17
485,Eletronico 485,1392.7,0.13
486,Eletronico 486,4589.47,0.07
487,Eletronico 487,3771.66,0.11
488,Eletronico 488,2954.0,0.08
489,Eletronico 489,1722.56,0.09
490,Eletronico 490,2075.64,0.15
491,Eletronico 491,3606.03,0.16
492,Eletronico 492,2259.07,0.14
493,Eletronico 493,4424.3,0.07
494,Eletronico 494,507.18,0.17
495,Eletronico 495,3477.97,0.18
496,Eletronico 496,3375.61,0.1
497,Eletronico 497,2806.6,0.06
498,Eletronico 498,937.69,0.09
499,Eletronico 499,2626.59,0.17
500,Eletronico 500,2234.32,0.19
501,Eletronico 501,3420.56,0.07
502,Eletronico 502,118.33,0.19
503,Eletronico 503,3181.76,0.12
504,Eletronico 504,1721.52,0.16
505,Eletronico 505,4246.52,0.18
506,Eletronico 506,3781.0,0.08
507,Eletronico 507,414.01,0.15
508,Eletronico 508,86.13,0.1
509,Eletronico 509,3671.96,0.06
510,Eletronico 510,3443.29,0.19
511,Eletronico 511,3656.99,0.09
512,Eletronico 512,3225.52,0.12
513,Eletronico 513,294.83,0.18
514,Eletronico 514,2313.62,0.1
515,Eletronico 515,2550.14,0.14
516,Eletronico 516,1215.21,0.06
517,Eletronico 517,3592.08,0.11
518,Eletronico 518,384.33,0.08
519,Eletronico 519,1998.34,0.16
520,Eletronico 520,1510.01,0.11
521,Eletronico 521,788.1,0.13
522,Eletronico 522,1205.47,0.05
523,Eletronico 523,3603.59,0.05
524,Eletronico 524,49.58,0.08
525,Eletronico 525,4414.51,0.14
526,Eletronico 526,443.64,0.12
527,Eletronico 527,3718.31,0.15
528,Eletronico 528,3790.42,0.13
529,Eletronico 529,493.13,0.1
530,Eletronico 530,776.68,0.11
531,Eletronico 531,1870.89,0.16
532,Eletronico 532,744.22,0.17
533,Eletronico 533,1599.36,0.18
534,Eletronico 534,3394.9,0.11
535,Eletronico 535,3312.02,0.09
536,Eletronico 536,3533.24,0.16
537,Eletronico 537,3209.0,0.17
538,Eletronico 538,1468.94,0.16
539,Eletronico 539,488.35,0.17
540,Eletronico 540,4602.45,0.19
541,Eletronico 541,1344.52,0.14
542,Eletronico 542,4843.44,0.06
543,Eletronico 543,1962.21,0.16
544,Eletronico 544,1481.93,0.07
545,Eletronico 545,4644.35,0.07
546,Eletronico 546,3711.68,0.18
547,Eletronico 547,209.04,0.19
548,Eletronico 548,2885.84,0.12
549,Eletronico 549,3197.81,0.12
550,Eletronico 550,2442.31,0.1
551,Eletronico 551,4172.81,0.12
552,Eletronico 552,3634.47,0.09
553,Eletronico 553,2876.85,0.19
554,Eletronico 554,3409.49,0.17
555,Eletronico 555,1317.01,0.14
556,Eletronico 556,1781.04,0.19
557,Eletronico 557,520.96,0.1
558,Eletronico 558,98.31,0.15
559,Eletronico 559,3864.58,0.19
560,Eletronico 560,1174.19,0.11
561,Eletronico 561,1495.14,0.16
562,Eletronico 562,1928.22,0.12
563,Eletronico 563,3369.75,0.18
564,Eletronico 564,1814.47,0.11
565,Eletronico 565,1547.3,0.16
566,Eletronico 566,4851.72,0.06
567,Eletronico 567,3038.26,0.12
568,Eletronico 568,3356.88,0.06
569,Eletronico 569,3821.29,0.09
570,Eletronico 570,206.83,0.16
571,Eletronico 571,2432.19,0.07
572,Eletronico 572,1141.76,0.19
573,Eletronico 573,2294.68,0.17
574,Eletronico 574,3996.53,0.2
575,Eletronico 575,3711.11,0.13
576,Eletronico 576,3531.07,0.14
577,Eletronico 577,299.01,0.15
578,Eletronico 578,3293.68,0.08
579,Eletronico 579,2397.15,0.2
580,Eletronico 580,4606.04,0.14
581,Eletronico 581,1642.2,0.06
582,Eletronico 582,3741.1,0.07
583,Eletronico 583,3735.54,0.15
584,Eletronico 584,4945.59,0.14
585,Eletronico 585,316.29,0.18
586,Eletronico 586,1467.32,0.12
587,Eletronico 587,1853.72,0.18
588,Eletronico 588,2161.08,0.13
589,Eletronico 589,3029.12,0.06
590,Eletronico 590,1685.65,0.08
591,Eletronico 591,2204.99,0.18
592,Eletronico 592,4299.08,0.1
593,Eletronico 593,867.6,0.19
594,Eletronico 594,3778.89,0.18
595,Eletronico 595,2241.79,0.19
596,Eletronico 596,1947.55,0.1
597,Eletronico 597,2597.62,0.07
598,Eletronico 598,640.98,0.11
599,Eletronico 599,437.95,0.16
600,Eletronico 600,2904.35,0.17
601,Eletronico 601,2910.37,0.2
602,Eletronico 602,3172.56,0.07
603,Eletronico 603,125.99,0.18
604,Eletronico 604,3266.82,0.07
605,Eletronico 605,3641.02,0.08
606,Eletronico 606,4049.24,0.16
607,Eletronico 607,1308.46,0.1
608,Eletronico 608,4264.29,0.14
609,Eletronico 609,4400.17,0.19
610,Eletronico 610,4474.04,0.08
611,Eletronico 611,2594.41,0.14
612,Eletronico 612,1988.83,0.16
613,Eletronico 613,1595.48,0.11
614,Eletronico 614,1733.79,0.12
615,Eletronico 615,3665.12,0.15
616,Eletronico 616,948.05,0.12
617,Eletronico 617,2686.92,0.18
618,Eletronico 618,2709.3,0.07
619,Eletronico 619,3925.17,0.15
620,Eletronico 620,1649.66,0.16
621,Eletronico 621,922.9,0.06
622,Eletronico 622,2287.6,0.17
623,Eletronico 623,3495.6,0.09
624,Eletronico 624,2485.55,0.06
625,Eletronico 625,3197.58,0.12
626,Eletronico 626,1038.12,0.07
627,Eletronico 627,4212.84,0.18
628,Eletronico 628,3597.89,0.1
629,Eletronico 629,923.5,0.17
630,Eletronico 630,299.23,0.12
631,Eletronico 631,3562.61,0.14
632,Eletronico 632,654.53,0.05
633,Eletronico 633,1344.97,0.2
634,Eletronico 634,4980.2,0.19
635,Eletronico 635,243.34,0.2
636,Eletronico 636,1128.05,0.17
637,Eletronico 637,87.3,0.14
638,Eletronico 638,4868.47,0.07
639,Eletronico 639,3021.81,0.18
640,Eletronico 640,4333.0,0.1
641,Eletronico 641,2723.48,0.13
642,Eletronico 642,608.43,0.05
643,Eletronico 643,1869.82,0.16
644,Eletronico 644,1221.31,0.05
645,Eletronico 645,957.26,0.05
646,Eletronico 646,3972.95,0.08
647,Eletronico 647,2013.46,0.07
648,Eletronico 648,12.64,0.12
649,Eletronico 649,1678.98,0.07
650,Eletronico 650,130.84,0.09
651,Eletronico 651,3364.43,0.08
652,Eletronico 652,3914.71,0.1
653,Eletronico 653,888.7,0.05
654,Eletronico 654,4298.47,0.18
655,Eletronico 655,2308.14,0.07
656,Eletronico 656,1420.49,0.08
657,Eletronico 657,1324.36,0.07
658,Eletronico 658,3553.87,0.11
659,Eletronico 659,1965.42,0.11
660,Eletronico 660,3222.33,0.15
661,Eletronico 661,710.6,0.15
662,Eletronico 662,3595.52,0.2
663,Eletronico 663,4164.5,0.07
664,Eletronico 664,3553.34,0.07
665,Eletronico 665,217.04,0.06
666,Eletronico 666,2438.54,0.17
667,Eletronico 667,3382.14,0.12
668,Eletronico 668,1025.17,0.17
669,Eletronico 669,2592.59,0.09
670,Eletronico 670,4255.15,0.17
671,Eletronico 671,3151.07,0.2
672,Eletronico 672,4238.46,0.11
673,Eletronico 673,2892.74,0.06
674,Eletronico 674,807.88,0.1
675,Eletronico 675,1055.46,0.08
676,Eletronico 676,4020.52,0.08
677,Eletronico 677,2678.05,0.09
678,Eletronico 678,1560.13,0.19
679,Eletronico 679,268.27,0.18
680,Eletronico 680,1710.88,0.08
681,Eletronico 681,4653.26,0.2
682,Eletronico 682,3997.1,0.14
683,Eletronico 683,4295.07,0.14
684,Eletronico 684,3351.93,0.14
685,Eletronico 685,3874.98,0.18
686,Eletronico 686,4541.56,0.08
687,Eletronico 687,2813.25,0.06
688,Eletronico 688,4551.59,0.17
689,Eletronico 689,1673.99,0.17
690,Eletronico 690,3305.87,0.07
691,Eletronico 691,487.31,0.07
692,Eletronico 692,4270.62,0.12
693,Eletronico 693,3773.57,0.08
694,Eletronico 694,3859.46,0.09
695,Eletronico 695,2779.14,0.19
696,Eletronico 696,1691.96,0.15
697,Eletronico 697,223.41,0.18
698,Eletronico 698,3778.52,0.12
699,Eletronico 699,153.98,0.06
700,Eletronico 700,1700.55,0.07
701,Eletronico 701,544.97,0.13
702,Eletronico 702,865.35,0.06
703,Eletronico 703,3466.52,0.19
704,Eletronico 704,1265.76,0.1
705,Eletronico 705,2933.21,0.06
706,Eletronico 706,3924.35,0.17
707,Eletronico 707,4058.43,0.1
708,Eletronico 708,3097.5,0.16
709,Eletronico 709,4920.67,0.09
710,Eletronico 710,3746.57,0.18
711,Eletronico 711,4176.57,0.1
712,Eletronico 712,771.27,0.06
713,Eletronico 713,1394.38,0.12
714,Eletronico 714,1099.8,0.12
715,Eletronico 715,3759.12,0.18
716,Eletronico 716,1559.61,0.09
717,Eletronico 717,4107.34,0.18
718,Eletronico 718,624.04,0.15
719,Eletronico 719,477.93,0.2
720,Eletronico 720,3269.62,0.08
721,Eletronico 721,1660.45,0.17
722,Eletronico 722,1422.79,0.15
723,Eletronico 723,923.04,0.14
724,Eletronico 724,866.76,0.11
725,Eletronico 725,4408.98,0.1
726,Eletronico 726,4135.64,0.2
727,Eletronico 727,4093.0,0.16
728,Eletronico 728,972.74,0.18
729,Eletronico 729,2984.71,0.09
730,Eletronico 730,3255.86,0.11
731,Eletronico 731,959.15,0.19
732,Eletronico 732,1570.55,0.17
733,Eletronico 733,4902.35,0.08
734,Eletronico 734,148.34,0.19
735,Eletronico 735,2275.11,0.09
736,Eletronico 736,1094.6,0.15
737,Eletronico 737,1373.49,0.1
738,Eletronico 738,529.75,0.06
739,Eletronico 739,823.97,0.16
740,Eletronico 740,138.92,0.15
741,Eletronico 741,3119.25,0.07
742,Eletronico 742,1701.52,0.1
743,Eletronico 743,924.63,0.14
744,Eletronico 744,2576.99,0.17
