id,titulo,isbn,preco
58,Livro 58,8171930731451,4713.58
59,Livro 59,5120370099006,4004.8
60,Livro 60,8942534313148,2605.49
61,Livro 61,4497651472684,4134.74
62,Livro 62,7201160761195,430.05
63,Livro 63,8017567353110,895.31
64,Livro 64,4906429187688,396.09
65,Livro 65,7326781213611,3287.16
66,Livro 66,4250306114577,145.93
67,Livro 67,9450484660123,4445.55
68,Livro 68,8694451564843,4748.84
69,Livro 69,8904640081164,3843.53
70,Livro 70,9295263858704,1361.22
71,Livro 71,5660003535092,1961.57
72,Livro 72,6858759668786,1339.53
73,Livro 73,2753603090616,4488.95
74,Livro 74,7888718298553,4101.27
75,Livro 75,5777301851854,984.28
76,Livro 76,9905220029208,635.07
77,Livro 77,7286154000835,4415.07
78,Livro 78,7205640986387,4316.47
79,Livro 79,8670598146669,4436.31
80,Livro 80,6235942591623,1386.59
81,Livro 81,7027002765259,3064.67
82,Livro 82,9959218022923,4252.21
83,Livro 83,3296801028586,958.89
84,Livro 84,3080390567654,289.91
85,Livro 85,5994470426190,3620.43
86,Livro 86,9355615105667,2691.38
87,Livro 87,6053834801831,2199.23
88,Livro 88,0748294080697,3092.63
89,Livro 89,5260246694960,3538.61
90,Livro 90,0424261326816,4770.1
91,Livro 91,7729363214715,1353.01
92,Livro 92,3726144656982,2447.54
93,Livro 93,4626943162899,924.94
94,Livro 94,2365365404269,1803.85
95,Livro 95,4241244311011,2277.61
96,Livro 96,5807379397852,1897.72
97,Livro 97,8736005753791,1621.8
98,Livro 98,1640347236271,4625.3
99,Livro 99,3133175097058,1538.3
100,Livro 100,7026282510694,3639.31
101,Livro 101,8881747812085,2591.42
102,Livro 102,6569638591658,568.32
103,Livro 103,9105884042874,3323.74
104,Livro 104,2679210000109,1575.45
105,Livro 105,4689375527840,2741.69
106,Livro 106,1777202829565,180.03
107,Livro 107,2483977538312,2706.75
108,Livro 108,1428042154152,4092.41
109,Livro 109,2938190008862,3099.84
110,Livro 110,2140023960689,3903.46
111,Livro 111,9998389625617,865.77
112,Livro 112,1113356383661,1506.21
113,Livro 113,6914168618512,4249.64
114,Livro 114,1928790500437,1017.72
115,Livro 115,7460215935033,2638.15
116,Livro 116,6308176600505,807.29
117,Livro 117,2135339371316,1868.73
118,Livro 118,9886147917888,1243.33
119,Livro 119,7761757536864,4779.39
120,Livro 120,9085467021969,1363.49
121,Livro 121,9988589479772,4673.56
122,Livro 122,5492500633257,4168.17
123,Livro 123,9270629528676,3661.05
124,Livro 124,8216323581807,2826.37
125,Livro 125,4358500653276,1088.16
126,Livro 126,9366806285462,2942.93
127,Livro 127,7394473555441,4183.99
128,Livro 128,9730976358039,4838.04
129,Livro 129,2846230989715,1866.97
130,Livro 130,0561958420249,935.09
131,Livro 131,2731273271319,2230.4
132,Livro 132,8416316861350,210.01
133,Livro 133,1693677880893,3953.19
134,Livro 134,2556582774668,266.93
135,Livro 135,6998130467970,2450.3
136,Livro 136,7000146405750,2453.26
137,Livro 137,0230240431815,4687.18
138,Livro 138,5993951265580,4943.13
139,Livro 139,4344495041979,2575.5
140,Livro 140,0463853492077,4679.26
141,Livro 141,2800426963277,3905.78
142,Livro 142,1290129053903,1505.05
143,Livro 143,8432041990175,1632.89
144,Livro 144,6068248425576,3502.64
145,Livro 145,9722678499884,1598.53
146,Livro 146,0681511269730,4635.48
147,Livro 147,7065487071342,2233.39
148,Livro 148,9950599109605,4126.03
149,Livro 149,3442907717071,3213.66
150,Livro 150,6798403051126,2870.17
151,Livro 151,6704296949631,2066.34
152,Livro 152,1253587209275,1159.96
153,Livro 153,3160058916236,4412.95
154,Livro 154,4570746522196,4594.08
155,Livro 155,9741448285171,1068.76
156,Livro 156,8746076154781,4198.13
157,Livro 157,5706399039716,1564.31
158,Livro 158,1020469259305,1602.7
159,Livro 159,0898894749272,4145.24
160,Livro 160,0958728827593,2693.13
161,Livro 161,6780867449057,4469.72
162,Livro 162,5925479219126,2246.27
163,Livro 163,0531071477986,952.8
164,Livro 164,5220944682227,4712.69
165,Livro 165,5066327596381,1844.04
166,Livro 166,2274008326341,3309.11
167,Livro 167,4075750644513,4148.67
168,Livro 168,9819024323385,1711.29
169,Livro 169,4143033186270,2983.64
170,Livro 170,3913416006009,4868.75
171,Livro 171,4594953303636,4700.6
172,Livro 172,0224782458398,848.56
173,Livro 173,5341006206824,3984.58
174,Livro 174,2849229090885,1933.76
175,Livro 175,6276827206474,1614.43
176,Livro 176,5940141096598,512.96
177,Livro 177,7357489775602,108.58
178,Livro 178,5619430042137,4476.05
179,Livro 179,5326580907633,3312.34
180,Livro 180,6112899182631,1444.0
181,Livro 181,3451637770364,1703.72
182,Livro 182,4005159458489,603.5
183,Livro 183,9250465864350,1079.74
184,Livro 184,0470512411522,2729.12
185,Livro 185,7840170987009,300.37
186,Livro 186,2175853813963,1398.18
187,Livro 187,5070876481959,3274.11
188,Livro 188,5058401669413,1507.97
189,Livro 189,1696840184165,1685.04
190,Livro 190,0971873973701,4912.37
191,Livro 191,1307580206079,2547.43
192,Livro 192,7745215844007,1206.8
193,Livro 193,0301935678764,837.45
194,Livro 194,1274134567122,2165.8
195,Livro 195,6951595909260,2871.77
196,Livro 196,0531085984543,1070.17
197,Livro 197,9583778245102,3592.16
198,Livro 198,2663902342477,3125.26
199,Livro 199,6333204114997,607.94
200,Livro 200,7864110464975,445.81
201,Livro 201,4841166616152,1609.32
202,Livro 202,0155931901804,594.98
203,Livro 203,5834554901525,4658.89
204,Livro 204,2060585711487,1964.48
205,Livro 205,0160917022703,4698.9
206,Livro 206,0097635361216,259.9
207,Livro 207,0722260305701,396.16
208,Livro 208,9276830214408,1343.02
209,Livro 209,6189315158274,1212.46
210,Livro 210,1967405300291,1365.51
211,Livro 211,2094720904214,1135.36
212,Livro 212,2301733431976,670.18
213,Livro 213,0510925578358,3351.94
214,Livro 214,0032322550212,621.57
215,Livro 215,8669728475112,1480.85
216,Livro 216,5596656377140,3462.98
217,Livro 217,4440532650975,1720.57
218,Livro 218,0558208378319,1010.02
219,Livro 219,5714307840239,3209.75
220,Livro 220,6044632710916,1103.65
221,Livro 221,7714706351985,4506.16
222,Livro 222,3027363505692,2588.58
223,Livro 223,9511307583469,1899.43
224,Livro 224,7129317029594,3275.71
225,Livro 225,2492108781895,377.4
226,Livro 226,6712357133173,3258.68
227,Livro 227,8510112600887,4030.57
228,Livro 228,0964770132652,3353.6
229,Livro 229,7566639537214,348.91
230,Livro 230,7916530709952,1605.92
231,Livro 231,2272196828686,1645.72
232,Livro 232,8086451382922,701.9
233,Livro 233,6847610266644,4284.54
234,Livro 234,0890728612778,1207.14
235,Livro 235,4101973927150,2855.97
236,Livro 236,4795999306686,1420.79
237,Livro 237,6740300366367,1296.53
238,Livro 238,1930611777939,123.08
239,Livro 239,0088189541948,2240.41
240,Livro 240,5316643324806,1632.15
241,Livro 241,8552084937440,3792.24
242,Livro 242,4059390577793,2246.25
243,Livro 243,5867539207584,580.39
244,Livro 244,6818724390063,2659.94
245,Livro 245,3408599866764,3925.81
246,Livro 246,6982252360054,2458.92
247,Livro 247,0684951390666,70.47
248,Livro 248,6891035595946,2602.32
249,Livro 249,9231024833250,3970.05
250,Livro 250,6358945801550,4714.79
251,Livro 251,4628182321148,4547.91
252,Livro 252,8304732009248,400.84
253,Livro 253,6062365624506,1236.71
254,Livro 254,1046859219379,309.32
255,Livro 255,7720427860008,2035.71
256,Livro 256,4787759099675,3921.63
257,Livro 257,6493482131861,3131.56
258,Livro 258,6153024404347,1530.32
259,Livro 259,6882005582488,500.39
260,Livro 260,0133043347397,2852.2
261,Livro 261,2650446943840,1079.54
262,Livro 262,2918682593097,227.52
263,Livro 263,8082026662912,1665.12
264,Livro 264,3689588294172,4960.51
265,Livro 265,4288656442890,4689.09
266,Livro 266,1952346404535,2562.96
267,Livro 267,2925701635982,2779.47
268,Livro 268,3187996066596,3673.29
269,Livro 269,5279329494300,2452.02
270,Livro 270,1701346071590,2277.58
271,Livro 271,9919785315657,1533.91
272,Livro 272,9147895064673,3707.3
273,Livro 273,8563090847705,4933.51
274,Livro 274,2127695316654,4929.66
275,Livro 275,4169531318098,3106.09
276,Livro 276,3553118395429,2384.16
277,Livro 277,8049517037670,2976.77
278,Livro 278,6931303762513,1610.15
279,Livro 279,8803698522813,1260.34
280,Livro 280,2509558841221,2071.8
281,Livro 281,8830468666166,127.35
282,Livro 282,6892573659621,2024.68
283,Livro 283,4112500129125,4140.6
284,Livro 284,3343169781661,2112.65
285,Livro 285,0167195755518,3534.77
286,Livro 286,0157833093322,2257.27
287,Livro 287,0108421019803,1259.54
288,Livro 288,3451050946143,1369.91
289,Livro 289,7492293148617,3824.44
290,Livro 290,7162447421370,3205.86
291,Livro 291,2385673677030,3356.56
292,Livro 292,3637615644695,610.39
293,Livro 293,2917526971930,4268.24
294,Livro 294,3546584496553,137.55
295,Livro 295,2181988112858,3958.95
296,Livro 296,2724191975898,71.26
297,Livro 297,9977612885217,4535.08
298,Livro 298,8326782147087,3394.64
299,Livro 299,4930110652539,926.1
300,Livro 300,5983424242568,1524.54
301,Livro 301,8694018236906,3307.78
302,Livro 302,9100960776260,4191.56
303,Livro 303,2087824974006,2407.87
304,Livro 304,1635479589745,2564.22
305,Livro 305,1405063336690,1532.57
306,Livro 306,9891736520833,2826.42
307,Livro 307,4593637516393,694.19
308,Livro 308,1515515835943,240.47
309,Livro 309,7006242687384,24.16
310,Livro 310,1635353510198,4276.63
311,Livro 311,2219197963293,353.42
312,Livro 312,1217433186171,2669.38
313,Livro 313,1450694953930,4669.58
314,Livro 314,8076097341822,4620.48
315,Livro 315,0078237438313,2844.54
316,Livro 316,9635791892399,999.06
317,Livro 317,2881263908947,3930.67
318,Livro 318,1500654293602,2153.85
319,Livro 319,7019458647162,1646.96
320,Livro 320,0583299873403,4720.71
321,Livro 321,4888088086665,516.25
322,Livro 322,0862810520497,4478.73
323,Livro 323,1933328270166,3937.16
324,Livro 324,3806277844162,2270.85
325,Livro 325,8045163546002,4981.37
326,Livro 326,1923617519101,2559.15
327,Livro 327,5257031476652,3092.61
328,Livro 328,3376704235841,4507.39
329,Livro 329,8733996213039,3204.89
330,Livro 330,0777935985630,3607.12
331,Livro 331,7927662332568,4652.22
332,Livro 332,3866572295820,3594.69
333,Livro 333,4044226916724,3599.12
334,Livro 334,8598988333303,2072.79
335,Livro 335,4875581998354,4997.67
336,Livro 336,4392118693470,552.93
337,Livro 337,9705454629707,3621.14
338,Livro 338,7348535942681,1490.19
339,Livro 339,8744643864007,3282.62
340,Livro 340,4946087955754,1196.91
341,Livro 341,1714864834072,4757.6
342,Livro 342,5355688115321,2360.0
343,Livro 343,4998339655002,2341.93
344,Livro 344,0033848139278,2695.35
345,Livro 345,7438216859778,1771.39
346,Livro 346,0175608866733,4366.86
347,Livro 347,8854803853753,2648.67
348,Livro 348,7128776977883,1323.75
349,Livro 349,6927346047966,308.01
350,Livro 350,6927802805424,521.59
351,Livro 351,9326534852570,1765.93
352,Livro 352,1086384944450,929.27
353,Livro 353,0220236258811,3456.75
354,Livro 354,0297410674884,1264.21
355,Livro 355,3808802219947,3491.96
356,Livro 356,8066382168299,4570.22
357,Livro 357,4602101644254,503.39
358,Livro 358,9264731723699,742.3
359,Livro 359,4442797360472,3008.89
360,Livro 360,1877723563120,247.76
361,Livro 361,3438720347477,514.03
362,Livro 362,9110324867168,2360.16
363,Livro 363,8854717270349,3745.97
364,Livro 364,9681611374265,1994.51
365,Livro 365,7779830546193,1983.85
366,Livro 366,6183286599370,2204.07
367,Livro 367,6112730425945,3571.88
368,Livro 368,2021249459334,4643.81
369,Livro 369,6110315735955,4749.0
370,Livro 370,1425358821075,2256.45
371,Livro 371,8101501381504,4643.04
372,Livro 372,0987748699981,3096.03
373,Livro 373,5520014116036,160.08
374,Livro 374,2138679443828,23.79
375,Livro 375,9332956640529,2599.87
376,Livro 376,4882935720461,2103.09
377,Livro 377,0583033353651,2750.22
378,Livro 378,9264168847399,1832.78
379,Livro 379,6922739172947,3642.92
380,Livro 380,6497915494053,1291.15
381,Livro 381,3383884707907,4467.15
382,Livro 382,0511997534755,3036.9
383,Livro 383,9939376884954,1448.36
384,Livro 384,2704704352872,1731.51
385,Livro 385,8134738258061,3603.54
386,Livro 386,0643915257252,4860.49
387,Livro 387,7575917171230,4925.51
388,Livro 388,0332222726952,2031.11
389,Livro 389,7658171668367,3834.68
390,Livro 390,3924670587168,1998.66
391,Livro 391,0829561726433,270.42
392,Livro 392,8817700891189,922.78
393,Livro 393,3297388837665,3955.78
394,Livro 394,2653896605145,4293.4
395,Livro 395,9058566391492,4074.34
396,Livro 396,5609013886258,3847.67
397,Livro 397,2870259356850,1042.6
398,Livro 398,9573123026697,679.53
399,Livro 399,3762207158552,222.19
400,Livro 400,5309159617879,2974.42
401,Livro 401,4210424032830,3438.54
402,Livro 402,2210648720595,2131.87
403,Livro 403,7539522059792,4484.71
404,Livro 404,9281903789127,3955.68
405,Livro 405,0771307846317,2793.32
406,Livro 406,9913207786153,4087.32
407,Livro 407,3780347021683,3519.79
408,Livro 408,9100664468148,4471.96
409,Livro 409,1811310700169,4686.54
410,Livro 410,2143763834421,3927.89
411,Livro 411,6233617632369,1877.14
412,Livro 412,8848219601480,976.84
413,Livro 413,0818444162850,1671.92
414,Livro 414,4748235594300,2146.71
415,Livro 415,9761236657882,2299.8
416,Livro 416,5873070821627,202.67
417,Livro 417,6783657937239,376.13
418,Livro 418,2590580643775,3715.78
419,Livro 419,6715157171158,3266.49
420,Livro 420,4894764779395,2646.08
421,Livro 421,3815373021164,3125.59
422,Livro 422,6430893192795,1058.54
423,Livro 423,1933295362383,1409.67
424,Livro 424,1264996033526,2958.25
425,Livro 425,0466233798839,4672.99
426,Livro 426,6863905089277,1053.44
427,Livro 427,8243399194033,4367.32
428,Livro 428,8235281902558,1189.97
429,Livro 429,4883355360631,3004.96
430,Livro 430,3012929985538,979.32
431,Livro 431,1010502864540,887.66
432,Livro 432,8693818185363,1169.58
433,Livro 433,9385291051438,56.09
434,Livro 434,0078060461626,283.49
435,Livro 435,4217659652153,4884.48
436,Livro 436,7894881534580,1615.83
437,Livro 437,1397616819658,1639.02
438,Livro 438,7905619899767,2476.28
439,Livro 439,4627051931804,3101.91
440,Livro 440,2771275778357,3002.51
441,Livro 441,6159053882391,3714.5
442,Livro 442,3022844706009,3230.28
443,Livro 443,5453864433033,4055.5
444,Livro 444,1000139661855,3535.13
445,Livro 445,3534958165086,1552.82
446,Livro 446,8715238038590,4956.73
447,Livro 447,5092606591834,621.71
448,Livro 448,4291302126698,1322.77
449,Livro 449,6656664621938,3482.01
450,Livro 450,9987610566473,1049.71
451,Livro 451,1633180484632,3347.56
452,Livro 452,1191368040785,3352.94
453,Livro 453,8227564271032,319.98
454,Livro 454,3336193823990,4193.59
455,Livro 455,6744895003642,1824.6
456,Livro 456,9799144294129,3271.15
457,Livro 457,6031430128622,4514.72
458,Livro 458,8448275410108,1400.31
459,Livro 459,1817105454666,1350.22
460,Livro 460,8169505823914,3356.76
461,Livro 461,7435542429808,1797.03
462,Livro 462,8965258944478,494.07
463,Livro 463,5097250075058,1009.59
464,Livro 464,5551876400579,4537.51
465,Livro 465,8595626901291,1196.24
466,Livro 466,2530463582531,3502.42
467,Livro 467,6483462466204,455.99
468,Livro 468,1632574004901,240.22
469,Livro 469,1125049901857,2335.89
470,Livro 470,1337494417761,2019.34
471,Livro 471,5391215488499,308.62
472,Livro 472,0641580193968,1381.6
473,Livro 473,0380965075288,2833.21
474,Livro 474,2023644042504,2628.54
475,Livro 475,9223235538208,3944.87
476,Livro 476,4470988411007,2318.86
477,Livro 477,3881100712326,1892.98
478,Livro 478,6397330320101,4524.71
479,Livro 479,9192752799186,4038.39
480,Livro 480,6471772069007,1451.1
481,Livro 481,7693280631332,3836.06
482,Livro 482,8674784631174,601.0
483,Livro 483,5086130927535,2112.88
484,Livro 484,0113437861346,62.8
485,Livro 485,9601331765651,2995.37
486,Livro 486,3535554423281,2769.57
487,Livro 487,2096294119426,2399.16
488,Livro 488,3517439739986,2546.51
489,Livro 489,8734429341973,3413.5
490,Livro 490,8156182212493,3054.52
491,Livro 491,1276224297588,4556.69
492,Livro 492,0812310417762,4590.78
493,Livro 493,5642299877800,2254.75
494,Livro 494,0158507748924,3760.04
495,Livro 495,3098854711417,1064.9
496,Livro 496,4564496077791,4122.18
497,Livro 497,6560545769757,3425.73
498,Livro 498,7260518542318,4150.45
499,Livro 499,1631809762155,949.44
500,Livro 500,6518974250940,1667.02
501,Livro 501,5895655516146,4407.13
502,Livro 502,4368270306844,1409.14
503,Livro 503,4687798302338,3117.49
504,Livro 504,9559724661699,1113.74
505,Livro 505,6553453960328,298.47
506,Livro 506,2473898735712,3163.19
507,Livro 507,4381331448852,2782.83
508,Livro 508,6725448741336,1605.28
509,Livro 509,0127342341737,808.6
510,Livro 510,0267373761613,2647.11
511,Livro 511,4225119752961,1884.31
512,Livro 512,1471291444814,4667.05
513,Livro 513,6590216280539,316.74
514,Livro 514,2311869881105,4758.77
515,Livro 515,4033888118457,2837.29
516,Livro 516,6670134425210,3537.02
517,Livro 517,0447313660388,1434.57
518,Livro 518,2993541175259,4975.98
519,Livro 519,5195138720637,4729.36
520,Livro 520,9669854663713,3150.25
521,Livro 521,6666342405222,4726.49
522,Livro 522,0830004988797,829.25
523,Livro 523,0438671169958,492.19
524,Livro 524,1376538869354,543.91
525,Livro 525,3181117003278,988.6
526,Livro 526,6998038065731,2454.29
527,Livro 527,3685682182475,1904.91
528,Livro 528,1782463420923,3369.83
529,Livro 529,8715388624906,2254.41
530,Livro 530,3918403992213,4564.73
531,Livro 531,3973212321655,78.83
532,Livro 532,3962839907364,1447.79
533,Livro 533,7883088765985,2234.23
534,Livro 534,6950480604335,1204.68
535,Livro 535,7055110138117,1880.76
536,Livro 536,2209624455922,2543.48
537,Livro 537,3892412627455,50.16
538,Livro 538,1977558293496,2822.3
539,Livro 539,9668642423696,2935.49
540,Livro 540,4712740483240,2361.84
541,Livro 541,0361519147615,1235.38
542,Livro 542,9166411142162,282.4
543,Livro 543,9668409239201,3684.31
544,Livro 544,3191352263637,1660.03
545,Livro 545,3100334387005,4883.08
546,Livro 546,3810592218254,1518.38
547,Livro 547,4725760706254,937.71
548,Livro 548,8270247670429,4858.41
549,Livro 549,5245017639295,761.07
550,Livro 550,8330491317925,1016.11
551,Livro 551,0199717709090,479.12
552,Livro 552,5895162871598,1787.42
553,Livro 553,2053977298371,4529.88
554,Livro 554,5140037095285,3417.88
555,Livro 555,1892259360702,124.36
556,Livro 556,1390354979472,250.87
557,Livro 557,0974603615786,1116.77
558,Livro 558,2284033130496,4349.72
559,Livro 559,3229578728485,2368.65
560,Livro 560,7008642639125,3334.04
561,Livro 561,6806287026084,340.72
562,Livro 562,2173558103321,4524.96
563,Livro 563,2616348835296,2720.86
564,Livro 564,8113719476464,4048.68
565,Livro 565,7685240297790,1824.7
566,Livro 566,5515535620786,3120.7
567,Livro 567,7962202629131,917.37
568,Livro 568,5806342517488,4021.15
569,Livro 569,9977094846711,1074.53
570,Livro 570,7300018321409,4637.59
571,Livro 571,8186619853407,3988.59
572,Livro 572,0493877569105,1400.36
573,Livro 573,0453671559488,2420.51
574,Livro 574,2536431244929,2262.47
575,Livro 575,8530627846083,3545.07
576,Livro 576,6424957302506,3470.15
577,Livro 577,1312627478396,3764.46
578,Livro 578,2989825572720,2104.67
579,Livro 579,8768008151851,1004.91
580,Livro 580,2001593984665,223.5
581,Livro 581,9389893519185,3917.18
582,Livro 582,7548595777410,1069.55
583,Livro 583,4192900542159,2926.05
584,Livro 584,3271411805553,2797.71
585,Livro 585,7489341669562,1576.41
586,Livro 586,8114868451512,3569.01
587,Livro 587,7750197008273,2190.0
588,Livro 588,2267412564979,296.41
589,Livro 589,0971532715572,1816.03
590,Livro 590,4833087233594,3884.58
591,Livro 591,7311779690855,3966.82
592,Livro 592,4938921208438,3859.35
593,Livro 593,0731321472206,4453.87
594,Livro 594,3614111598666,1293.85
595,Livro 595,3749512788483,4589.71
596,Livro 596,2405643289038,1874.79
597,Livro 597,0974634754189,2475.28
598,Livro 598,3623256165081,1777.78
599,Livro 599,6905631493986,1762.98
600,Livro 600,1107329116991,1615.7
601,Livro 601,4742648085613,4204.91
602,Livro 602,8534489225865,3089.27
603,Livro 603,1383666538105,3319.2
604,Livro 604,1588035344629,1936.64
605,Livro 605,6344141423061,2667.41
606,Livro 606,6758778365439,3634.21
607,Livro 607,8463515379259,438.11
608,Livro 608,5865222756344,915.08
609,Livro 609,3894565816429,1529.2
610,Livro 610,2379439474178,4644.95
611,Livro 611,8819473842938,4823.15
612,Livro 612,4268497973071,3038.15
613,Livro 613,7480932030833,2889.14
614,Livro 614,4060225946074,967.03
615,Livro 615,7702270871643,946.99
616,Livro 616,1498898579332,3879.88
617,Livro 617,6099968746787,3827.75
618,Livro 618,8961742878773,1831.65
619,Livro 619,4544592836700,2484.9
620,Livro 620,1293333675892,815.72
621,Livro 621,6983321130233,4688.0
622,Livro 622,0655367990777,4831.25
623,Livro 623,2382698047913,614.77
624,Livro 624,0610385031100,586.66
625,Livro 625,7851023050535,2561.36
626,Livro 626,8172769912869,453.9
627,Livro 627,0628572488045,2860.37
628,Livro 628,0125640922350,697.04
629,Livro 629,3953163157186,522.22
630,Livro 630,1002204916550,960.38
631,Livro 631,4720195093724,3445.18
632,Livro 632,5454179357066,612.85
633,Livro 633,8961146407356,525.83
634,Livro 634,7507263685358,270.1
635,Livro 635,2669653598715,3945.73
636,Livro 636,0576784786208,4743.11
637,Livro 637,6054578036751,3424.22
638,Livro 638,8871493224168,2451.31
639,Livro 639,5185635659879,2239.56
640,Livro 640,1184668260058,1694.48
641,Livro 641,5222108210735,3447.76
642,Livro 642,0088046214858,3438.95
643,Livro 643,8702955355950,2790.65
644,Livro 644,4154028775151,4556.3
645,Livro 645,4065466050251,326.0
646,Livro 646,2906729143140,1065.9
647,Livro 647,0160890014956,1799.36
648,Livro 648,1561054506963,3230.47
649,Livro 649,9329258832444,3198.85
650,Livro 650,9089463948129,3293.86
651,Livro 651,0535364125332,3903.42
652,Livro 652,0703380055704,906.18
653,Livro 653,9768128241427,3657.38
654,Livro 654,8121863702991,924.79
655,Livro 655,8981504250645,1930.15
656,Livro 656,8859150717538,2931.36
657,Livro 657,2827678785884,1182.83
658,Livro 658,5213251692796,4253.82
659,Livro 659,4316789885037,1645.16
660,Livro 660,8022371440086,1027.63
661,Livro 661,9214670045896,426.66
662,Livro 662,8511618886414,2982.55
663,Livro 663,0981692081229,2540.74
664,Livro 664,5028069112498,3235.99
665,Livro 665,4209826316777,3571.51
666,Livro 666,3900803610809,4890.5
667,Livro 667,4535171989142,3906.52
668,Livro 668,2093656068810,4441.53
669,Livro 669,9263857686906,297.59
670,Livro 670,2005394250384,3660.96
671,Livro 671,5372877253354,4349.98
672,Livro 672,6669541051621,1932.23
673,Livro 673,1109851346867,2755.02
674,Livro 674,3160364992694,2648.07
675,Livro 675,0208642062899,4070.14
676,Livro 676,0043132780801,4243.83
677,Livro 677,0128330489847,1431.96
678,Livro 678,0754316663847,458.04
679,Livro 679,0923319901381,1029.22
680,Livro 680,7544560709177,694.19
681,Livro 681,7430742474104,1228.71
682,Livro 682,2362575643414,1333.45
683,Livro 683,2368607456117,32.67
684,Livro 684,4176972460648,3305.25
685,Livro 685,7850923979281,1205.03
686,Livro 686,4141657563826,4685.69
687,Livro 687,4760441853206,330.33
688,Livro 688,4932313681598,3103.43
689,Livro 689,7315233192736,4437.88
690,Livro 690,7827353438427,271.49
691,Livro 691,1419764538692,1771.23
692,Livro 692,3379998111103,4150.83
693,Livro 693,1613524905965,3966.71
694,Livro 694,3263867678621,3781.47
695,Livro 695,6883173758831,1327.77
696,Livro 696,6881760061962,3224.87
697,Livro 697,6964907610154,3412.03
698,Livro 698,3909668137334,2570.55
699,Livro 699,3830276962604,1306.91
700,Livro 700,0827473985951,2622.77
701,Livro 701,2490181920579,2385.9
702,Livro 702,9954531951706,3677.67
703,Livro 703,9801259152420,2903.99
704,Livro 704,1819545868697,4087.77
705,Livro 705,0924201096448,3820.51
706,Livro 706,2558031140816,1955.36
707,Livro 707,3322957772475,3756.57
708,Livro 708,4840862219357,3041.31
709,Livro 709,0875224889917,946.15
710,Livro 710,4386729271648,4370.4
711,Livro 711,3105594527996,1177.73
712,Livro 712,7454722577795,2819.76
713,Livro 713,9385025863788,3683.05
714,Livro 714,9208136918218,1889.39
715,Livro 715,1560482727419,2930.64
716,Livro 716,8792299980441,4772.93
717,Livro 717,7658145509419,1027.24
718,Livro 718,1366936873179,1675.21
719,Livro 719,5815258903598,3557.61
720,Livro 720,2777604751512,3836.53
721,Livro 721,3495825032457,1443.06
722,Livro 722,9970277674145,3267.03
723,Livro 723,6865439254629,4906.63
724,Livro 724,5367166514490,801.87
725,Livro 725,6401783840209,24.83
726,Livro 726,5493271190534,1539.37
727,Livro 727,8297062789095,3622.37
728,Livro 728,4471457937797,4212.98
729,Livro 729,2096822182407,3427.76
730,Livro 730,0524733538717,251.67
731,Livro 731,2237527893356,2065.55
732,Livro 732,2455358523990,3501.29
733,Livro 733,1260679783344,2547.05
734,Livro 734,1798306752696,2949.4
735,Livro 735,9142677493283,377.67
736,Livro 736,7992437602595,1572.47
737,Livro 737,9955157685461,4627.63
738,Livro 738,3696258016844,1370.65
739,Livro 739,6586883967761,1208.33
740,Livro 740,6378944196040,4025.03
741,Livro 741,3723552258275,2472.36
742,Livro 742,3986317083787,443.21
