id,titulo,isbn,preco
250,Livro 250,4959449703951,115.32
251,Livro 251,,27.09
252,Livro 252,1141899041178,166.62
253,Livro 253,3909624806109,23.57
254,Livro 254,0026796402162,257.27
255,Livro 255,783218883720302,248.5
256,Livro 256,8464319340198,48.62
257,Livro 257,67453327720,186.82
258,Livro 258,,104.63
259,Livro 259,106204376905403,138.51
260,Livro 260,4975838673778,218.6
261,Livro 261,8239265244920,164.53
262,Livro 262,2166760047741,182.03
263,Livro 263,5768835595602,191.81
264,Livro 264,,170.97
265,Livro 265,489499247098409,25.38
266,Livro 266,9608723907972,245.87
267,Livro 267,1943633388824,107.19
268,Livro 268,,34.05
269,Livro 269,7226054721403,130.5
270,Livro 270,4879091693402,122.92
271,Livro 271,3409017192888,284.35
272,Livro 272,,178.53
273,Livro 273,5946373542350,170.92
274,Livro 274,7763089143740,85.17
275,Livro 275,217810997493676,123.28
276,Livro 276,,201.58
277,Livro 277,4884260196570,46.5
278,Livro 278,,288.52
279,Livro 279,7593511197165,244.04
280,Livro 280,,222.4
281,Livro 281,5146010325801,184.02
282,Livro 282,9321709609474,178.76
283,Livro 283,7574370883754,278.7
284,Livro 284,2553933644039,226.82
285,Livro 285,9425133348,62.32
286,Livro 286,4883479992496,116.53
287,Livro 287,GBFSgWHzeDXaX,45.25
288,Livro 288,,97.14
289,Livro 289,0982311264356,255.78
290,Livro 290,7907934190557,203.46
291,Livro 291,,278.46
292,Livro 292,0092837332946,255.04
293,Livro 293,8931468540707,266.98
294,Livro 294,0434792020973,33.52
295,Livro 295,NlEJuUUIoVmMc,130.96
296,Livro 296,,63.31
297,Livro 297,4200185669134,51.04
298,Livro 298,XJktxNotCPOwZ,244.22
299,Livro 299,1993943333994,188.35
300,Livro 300,3901843493050,28.35
301,Livro 301,0619569551460,173.3
302,Livro 302,6034457110284,54.89
303,Livro 303,0795404517457,62.29
304,Livro 304,1609042309878,126.48
305,Livro 305,0552305422504,298.19
306,Livro 306,6165280386669,140.54
307,Livro 307,7292286473366,95.82
308,Livro 308,4173070675621,146.38
309,Livro 309,3970803069774,147.55
310,Livro 310,3078503439495,11.67
311,Livro 311,5895174476633,134.17
312,Livro 312,1697790226385,91.87
313,Livro 313,542670282368820,96.78
314,Livro 314,TiYMcNgkYtpMz,237.0
315,Livro 315,,64.4
316,Livro 316,3888440629651,70.29
317,Livro 317,,36.06
318,Livro 318,255351548144706,84.1
319,Livro 319,87959036554,48.31
320,Livro 320,6842558869,111.32
321,Livro 321,,98.37
322,Livro 322,2675146699502,108.89
323,Livro 323,fCSADXyWhKEwM,21.38
324,Livro 324,7372243527127,48.21
325,Livro 325,187429465505,132.07
326,Livro 326,2051909189578,32.99
327,Livro 327,3793254228923,200.5
328,Livro 328,,98.07
329,Livro 329,3427858523801,201.61
330,Livro 330,0436698334333,278.45
331,Livro 331,8967482680639,14.04
332,Livro 332,1604283584575,43.21
333,Livro 333,4006403689013,265.59
334,Livro 334,6109382261168,62.76
335,Livro 335,9874887390660,112.11
336,Livro 336,0211179527603,215.28
337,Livro 337,4924081618145,54.14
338,Livro 338,5961048966038,265.65
339,Livro 339,3046657976882,118.53
340,Livro 340,3195752998877,294.13
341,Livro 341,463789306764,154.39
342,Livro 342,0752486681899,124.05
343,Livro 343,6451661681302,154.97
344,Livro 344,8250969021761,153.44
345,Livro 345,9652060380524,155.85
346,Livro 346,gwMJlWMdMGsyA,250.97
347,Livro 347,4370188942396,12.99
348,Livro 348,6963169183739,68.23
349,Livro 349,2747610163846,55.04
350,Livro 350,8674983675340,82.51
351,Livro 351,8584401097344,211.85
352,Livro 352,0272622892234,167.61
353,Livro 353,6752476489820,232.83
354,Livro 354,1490756714980,266.52
355,Livro 355,7214887841323,218.26
356,Livro 356,2890728479085,221.16
357,Livro 357,3769810313,129.37
358,Livro 358,LseLPLvNPHABK,176.64
359,Livro 359,8131577489082,262.74
360,Livro 360,1089747448997,85.88
361,Livro 361,5809428867562,164.32
362,Livro 362,,36.43
363,Livro 363,6433952113506,258.27
364,Livro 364,803029765531486,118.97
365,Livro 365,4129160926634,33.71
366,Livro 366,1433527871,236.8
367,Livro 367,1815475672047,21.35
368,Livro 368,752989483344364,83.61
369,Livro 369,,239.79
370,Livro 370,1013744132914,78.26
371,Livro 371,2887684772154,295.92
372,Livro 372,9072023799972,258.01
373,Livro 373,1055314001913,257.4
374,Livro 374,8054248072468,210.59
375,Livro 375,7298072809947,49.88
376,Livro 376,8709644460395,187.43
377,Livro 377,5391213460242,241.89
378,Livro 378,2835544391651,150.8
379,Livro 379,0147576595857,144.57
380,Livro 380,2179691023699,28.99
381,Livro 381,457747556906500,150.24
382,Livro 382,973551357088546,249.44
383,Livro 383,,276.89
384,Livro 384,,172.25
385,Livro 385,4919339683504,63.97
386,Livro 386,1184071590257,267.14
387,Livro 387,4791382121666,112.51
388,Livro 388,6785265399352,34.96
389,Livro 389,,220.79
390,Livro 390,3100633491540,121.36
391,Livro 391,9931390104682,164.42
392,Livro 392,0142246934848,147.32
393,Livro 393,8050362427647,205.08
394,Livro 394,7771626022234,168.35
395,Livro 395,5011261869437,297.24
396,Livro 396,5770436737218,20.69
397,Livro 397,9162493694354,205.51
398,Livro 398,0073860743600,184.68
399,Livro 399,2860381393326,29.34
400,Livro 400,9085136790322,265.39
401,Livro 401,lUWEASuKcolfQ,56.66
402,Livro 402,3665515934524,85.26
403,Livro 403,7246537579668,39.54
404,Livro 404,,165.49
405,Livro 405,,37.64
406,Livro 406,1179154254821,75.98
407,Livro 407,734011838001107,126.23
408,Livro 408,730355302669042,170.74
409,Livro 409,6219333647232,128.61
410,Livro 410,3609134784072,177.2
411,Livro 411,0394468416489,39.62
412,Livro 412,2973573462951,52.25
413,Livro 413,,260.27
414,Livro 414,5198962881295,10.24
415,Livro 415,9890105100118,258.26
416,Livro 416,3870874232894,110.69
417,Livro 417,crSQLSLfbPyXs,231.9
418,Livro 418,irYZhVOOLvnym,161.13
419,Livro 419,0165401436620,88.36
420,Livro 420,0805689318799,135.33
421,Livro 421,170063928414141,44.73
422,Livro 422,,98.56
423,Livro 423,5921676635127,201.93
424,Livro 424,9166495513128,235.84
425,Livro 425,,199.72
426,Livro 426,3638389016,255.07
427,Livro 427,6897990279519,267.05
428,Livro 428,7443715439859,57.2
429,Livro 429,9584079617188,188.61
430,Livro 430,KoJCtWCMiqFyA,192.84
431,Livro 431,3971924890026,106.2
432,Livro 432,OmDCJROKlqNlo,172.54
433,Livro 433,7039684557801,68.82
434,Livro 434,1105752031273,155.43
435,Livro 435,4171637661839,48.99
436,Livro 436,4309188336586,163.5
437,Livro 437,1079489440976,48.9
438,Livro 438,5823211840937,222.23
439,Livro 439,5030853917381,268.13
440,Livro 440,noxshdMpzkilo,207.22
441,Livro 441,8760872497632,161.79
442,Livro 442,718166601990662,192.31
443,Livro 443,7447847365094,131.54
444,Livro 444,1733132710790,58.9
445,Livro 445,4787747356696,145.78
446,Livro 446,4143578778626,223.63
447,Livro 447,2361323036848,151.04
448,Livro 448,,241.6
449,Livro 449,3795011055614,31.24
450,Livro 450,3100614534581,261.47
451,Livro 451,4033647272459,134.08
452,Livro 452,699900886354,85.55
453,Livro 453,5962606173605,279.2
454,Livro 454,,171.12
455,Livro 455,7562421529120,162.97
456,Livro 456,0221163170178,292.69
457,Livro 457,5796018839598,95.22
458,Livro 458,,23.91
459,Livro 459,4058876984975,213.95
460,Livro 460,1367074876585,161.94
461,Livro 461,1658930146194,279.81
462,Livro 462,9346718132209,290.1
463,Livro 463,GrngEMFCGjAxd,135.39
464,Livro 464,3498707182504,153.71
465,Livro 465,VsXWLMqovLZZE,106.21
466,Livro 466,981246863790,284.27
467,Livro 467,6946163914214,157.55
468,Livro 468,2189515985212,97.44
469,Livro 469,9165162239458,161.91
470,Livro 470,0021816556202,249.17
471,Livro 471,5333178453233,284.92
472,Livro 472,0599339507328,56.62
473,Livro 473,464596686818532,182.63
474,Livro 474,8740938909821,64.86
475,Livro 475,9935464154,187.01
476,Livro 476,5074507792361,295.97
477,Livro 477,3680986798064,31.53
478,Livro 478,0384391389688,267.43
479,Livro 479,6089348532646,248.89
480,Livro 480,4851496563,89.84
481,Livro 481,0124988839223,124.39
482,Livro 482,8774150452461,57.92
483,Livro 483,MbbMzyDuDqKyf,139.4
484,Livro 484,9663421869325,278.06
485,Livro 485,386406704392944,192.3
486,Livro 486,7512936875660,285.47
487,Livro 487,2773420816817,13.13
488,Livro 488,7215544628428,94.25
489,Livro 489,4230675870448,224.37
490,Livro 490,4866001261773,189.62
491,Livro 491,3134536970597,144.51
492,Livro 492,1618529415970,186.33
493,Livro 493,,220.44
494,Livro 494,7748201981475,232.73
495,Livro 495,0681801444041,219.34
496,Livro 496,0408664245304,59.14
497,Livro 497,,24.43
498,Livro 498,5727650508521,147.23
499,Livro 499,9797963179558,215.25
500,Livro 500,,202.61
501,Livro 501,3796069588545,54.97
502,Livro 502,7856026381256,145.63
503,Livro 503,1277222454889,296.74
504,Livro 504,2999594448098,254.33
505,Livro 505,4361360512607,235.79
506,Livro 506,FnSSytMOVsRDo,93.44
507,Livro 507,5141859559,236.45
508,Livro 508,7696855771902,166.99
509,Livro 509,1129111448080,42.03
510,Livro 510,,176.32
511,Livro 511,,295.35
512,Livro 512,2904245581591,117.34
513,Livro 513,fWWoUOsIUrEKM,198.59
514,Livro 514,5016012651930,296.62
515,Livro 515,yQVIwLuRgHIFJ,39.26
516,Livro 516,2388434428355,18.0
517,Livro 517,4149008927371,185.48
518,Livro 518,NrdMrkeVGGcBl,26.73
519,Livro 519,6622790084561,44.21
520,Livro 520,4399098270173,51.32
521,Livro 521,1471203050071,132.83
522,Livro 522,2108821266303,185.62
523,Livro 523,4561135944157,123.57
524,Livro 524,341707574503254,267.38
525,Livro 525,5974348909174,96.68
526,Livro 526,9351479484607,246.59
527,Livro 527,8436823451665,140.77
528,Livro 528,772513849657074,207.27
529,Livro 529,,260.04
530,Livro 530,0634406970660,181.55
531,Livro 531,2932528763739,85.63
532,Livro 532,1323040176265,31.0
533,Livro 533,3357649935643,210.56
534,Livro 534,,22.81
535,Livro 535,0473808760410,293.88
536,Livro 536,3000106322235,24.47
537,Livro 537,0180649277453,157.76
538,Livro 538,6041627542057,24.86
539,Livro 539,860535251946543,276.22
540,Livro 540,0998245614171,78.38
541,Livro 541,2726651830703,205.74
542,Livro 542,2012234867968,245.13
543,Livro 543,5648364708310,50.81
544,Livro 544,7048532052806,106.07
545,Livro 545,8634330003261,104.04
546,Livro 546,3087788989550,193.87
547,Livro 547,446399444609280,205.29
548,Livro 548,7476926758152,35.64
549,Livro 549,0926335594861,144.9
550,Livro 550,208332728148533,166.88
551,Livro 551,1070893258682,286.98
552,Livro 552,7290199458469,243.39
553,Livro 553,ohPtMVeMEtDJl,280.84
554,Livro 554,540062279743854,111.3
555,Livro 555,4793227592529,160.17
556,Livro 556,6033659911371,198.97
557,Livro 557,0968708426591,183.32
558,Livro 558,6566276321,280.36
559,Livro 559,,165.69
560,Livro 560,2360258346505,83.27
561,Livro 561,,264.93
562,Livro 562,2029201133092,33.95
563,Livro 563,6724895137079,226.91
564,Livro 564,505947487479608,203.86
565,Livro 565,,290.77
566,Livro 566,5675181979723,235.89
567,Livro 567,,263.56
568,Livro 568,7734358477793,244.31
569,Livro 569,jmLZZovgOirAq,258.66
570,Livro 570,4987121891870,292.08
571,Livro 571,360053787429196,294.9
572,Livro 572,06460057485,122.82
573,Livro 573,540589649683563,162.73
574,Livro 574,,36.29
575,Livro 575,4924703292367,153.12
576,Livro 576,,288.7
577,Livro 577,8135886395827,235.41
578,Livro 578,4294506692844,243.29
579,Livro 579,4103766408724,176.58
580,Livro 580,610720037367,72.93
581,Livro 581,8719303605195,210.23
582,Livro 582,0747701032754,273.06
583,Livro 583,0875331095521,281.62
584,Livro 584,4373658739731,13.81
585,Livro 585,2538689205948,236.27
586,Livro 586,4280257487099,83.75
587,Livro 587,5021192211099,23.64
588,Livro 588,,84.89
589,Livro 589,0003917606128,185.68
590,Livro 590,rQXZqfyleuthI,129.12
591,Livro 591,7306269716821,238.73
592,Livro 592,9227890623198,233.99
593,Livro 593,,191.07
594,Livro 594,8546622318454,209.7
595,Livro 595,2997434188400,215.46
596,Livro 596,AEOSVkdHEYYsR,155.42
597,Livro 597,5810619764606,271.04
598,Livro 598,7092368273,15.23
599,Livro 599,3349933869362,117.69
600,Livro 600,7126292446247,42.91
601,Livro 601,9917232484333,104.1
602,Livro 602,5535488759008,125.17
603,Livro 603,0809916638666,118.07
604,Livro 604,BLZGsCCrKlbZu,250.03
605,Livro 605,2165706972192,16.56
606,Livro 606,,226.8
607,Livro 607,,26.29
608,Livro 608,6934054196305,264.05
609,Livro 609,4876647782770,121.02
610,Livro 610,1133371416761,109.41
611,Livro 611,2314246132168,201.63
612,Livro 612,154208446148,146.81
613,Livro 613,0085834086264,255.35
614,Livro 614,9358683478864,155.53
615,Livro 615,0053318947,257.5
616,Livro 616,8530961977039,274.76
617,Livro 617,9905784860394,89.43
618,Livro 618,,124.21
619,Livro 619,3892157618166,88.72
620,Livro 620,,73.66
621,Livro 621,,65.96
622,Livro 622,,169.49
623,Livro 623,26750103078,123.18
624,Livro 624,0629446224041,33.05
625,Livro 625,3328021778852,126.69
626,Livro 626,NsBPJxPtaDZad,100.86
627,Livro 627,062483116403,154.45
628,Livro 628,0266357015393,203.69
629,Livro 629,4217318286371,92.78
630,Livro 630,21377433195,197.31
631,Livro 631,0225539105506,105.88
632,Livro 632,4669028776218,223.85
633,Livro 633,2648209188651,175.01
634,Livro 634,0858820663979,17.35
635,Livro 635,5696678552711,276.11
636,Livro 636,7492017528759,272.26
637,Livro 637,,199.54
638,Livro 638,4690408499839,255.79
639,Livro 639,0848138724715,274.75
640,Livro 640,3593876564227,272.41
641,Livro 641,089538425374613,261.54
642,Livro 642,4437518728890,195.9
643,Livro 643,RYaHSLNCEsGTE,110.51
644,Livro 644,4556879045143,213.77
645,Livro 645,,54.43
646,Livro 646,,116.01
647,Livro 647,60741133185,34.23
648,Livro 648,848013050000427,199.87
649,Livro 649,964743302742349,254.72
650,Livro 650,,12.4
651,Livro 651,617810758415116,40.74
652,Livro 652,7517344506215,58.68
653,Livro 653,,132.32
654,Livro 654,3750910848213,164.23
655,Livro 655,9757896890966,190.03
656,Livro 656,5933404952503,85.79
657,Livro 657,8245495950054,246.97
658,Livro 658,5566397227374,58.99
659,Livro 659,9310360240245,14.05
660,Livro 660,9753113237470,16.52
661,Livro 661,9150304405,177.59
662,Livro 662,6450736479153,227.23
663,Livro 663,6716447331981,253.61
664,Livro 664,1691568836592,219.42
665,Livro 665,3859862760425,160.35
666,Livro 666,8485015703,234.76
667,Livro 667,6589076072505,264.44
668,Livro 668,2343524203,135.61
669,Livro 669,0848660563785,256.56
670,Livro 670,5500057288036,297.67
671,Livro 671,7922800169329,166.53
672,Livro 672,2792988888,295.43
673,Livro 673,yWzUfgTQyBYgz,132.99
674,Livro 674,329015289476294,134.95
675,Livro 675,bVBZdLBCXZjPM,31.72
676,Livro 676,7090831146643,150.83
677,Livro 677,0674435185980,22.83
678,Livro 678,,87.51
679,Livro 679,eRJKgGpISXMFR,119.94
680,Livro 680,2346439635729,193.22
681,Livro 681,8991914375839,191.79
682,Livro 682,0783049752166,100.57
683,Livro 683,5458948521262,41.04
684,Livro 684,,165.55
685,Livro 685,ElMfOmNgGiztw,146.66
686,Livro 686,3327063964619,269.29
687,Livro 687,196741358788128,284.25
688,Livro 688,2919369531014,265.96
689,Livro 689,4950195513910,212.01
690,Livro 690,,128.09
691,Livro 691,8311828433689,277.31
692,Livro 692,1242794164001,192.95
693,Livro 693,5299247370541,25.58
694,Livro 694,,25.52
695,Livro 695,0015543608722,232.43
696,Livro 696,,56.45
697,Livro 697,4567267330104,182.67
698,Livro 698,4801723484382,92.05
699,Livro 699,8892853184869,141.53
700,Livro 700,2731942084919,130.73
701,Livro 701,9892625123222,288.98
702,Livro 702,QAFBggZBhYPBy,100.95
703,Livro 703,1850759675422,106.44
704,Livro 704,,265.91
705,Livro 705,1452286506969,134.38
706,Livro 706,6929128899461,63.47
707,Livro 707,0201160644221,197.49
708,Livro 708,,268.48
709,Livro 709,9047743404153,250.11
710,Livro 710,7794902145927,24.2
711,Livro 711,8112521199929,103.08
712,Livro 712,2245727593671,292.59
713,Livro 713,7465712988385,239.41
714,Livro 714,0671495966605,23.57
715,Livro 715,,107.08
716,Livro 716,9437270429799,151.17
717,Livro 717,CujMLBmNzAaCu,54.55
718,Livro 718,2376103947745,71.44
719,Livro 719,870071872933571,23.14
720,Livro 720,3243674775064,67.39
721,Livro 721,3078743264970,114.9
722,Livro 722,,244.21
723,Livro 723,5364979865504,191.12
724,Livro 724,3512354692261,224.09
725,Livro 725,4172449065616,190.49
726,Livro 726,8037021071175,143.06
727,Livro 727,2038945328631,184.56
728,Livro 728,,21.6
729,Livro 729,650671193213452,164.1
730,Livro 730,774384431359,97.51
731,Livro 731,5969873352316,66.38
732,Livro 732,0976311933331,289.16
733,Livro 733,7163691560305,297.47
734,Livro 734,7526505949564,210.51
735,Livro 735,078927346928189,61.97
736,Livro 736,0153860862004,295.78
737,Livro 737,9953480221658,76.73
738,Livro 738,6309777344389,114.88
739,Livro 739,5310489042,39.53
740,Livro 740,5838277211938,106.98
741,Livro 741,3448727779989,38.13
742,Livro 742,PvGflAIOnmguZ,34.56
743,Livro 743,2520910740294,233.41
744,Livro 744,0163601562881,277.78
745,Livro 745,4311380478230,260.24
746,Livro 746,950945377145053,179.56
747,Livro 747,BNhiDvatxYcyI,209.37
748,Livro 748,8209244927988,14.15
749,Livro 749,tzKzyrzkHCBGK,150.14
750,Livro 750,7386280297656,127.73
751,Livro 751,9999055851766,145.77
752,Livro 752,7991459392169,113.45
753,Livro 753,3667852900799,70.8
754,Livro 754,042648079359772,152.83
755,Livro 755,6250739306027,189.52
756,Livro 756,7361364750872,281.68
757,Livro 757,2419160083165,18.39
758,Livro 758,1756903403925,238.34
759,Livro 759,0998164341239,282.8
760,Livro 760,890641020716022,100.53
761,Livro 761,OZyaxMzYuOihh,44.46
762,Livro 762,4953277276573,99.0
763,Livro 763,7967582418611,72.91
764,Livro 764,9583748237811,40.42
765,Livro 765,4842061577778,222.16
766,Livro 766,1096870074945,40.03
767,Livro 767,362861118622988,160.29
768,Livro 768,8193549127739,265.48
769,Livro 769,7937161861972,23.55
770,Livro 770,8488551483667,220.46
771,Livro 771,411826914103192,159.88
772,Livro 772,7803015767174,260.51
773,Livro 773,380857926931484,148.41
774,Livro 774,0081817191922,263.71
775,Livro 775,092362190391358,298.03
776,Livro 776,81266391283,284.72
777,Livro 777,840457508109222,67.19
778,Livro 778,,157.24
779,Livro 779,7447300331514,103.83
780,Livro 780,7954874887262,95.47
781,Livro 781,2786916594988,34.75
782,Livro 782,2863415316,285.24
783,Livro 783,3970436299511,135.26
