id,descricao,tamanho,preco
74,Roupa 74,PP,1822.02
75,Roupa 75,P,769.29
76,Roupa 76,M,1825.84
77,Roupa 77,P,3257.6
78,Roupa 78,G,1513.79
79,Roupa 79,M,3671.58
80,Roupa 80,M,4959.1
81,Roupa 81,GG,2597.01
82,Roupa 82,PP,4754.09
83,Roupa 83,PP,3487.99
84,Roupa 84,PP,3012.46
85,Roupa 85,GG,3849.33
86,Roupa 86,M,3541.32
87,Roupa 87,GG,2415.6
88,Roupa 88,GG,767.34
89,Roupa 89,P,4127.32
90,Roupa 90,PP,1807.46
91,Roupa 91,P,2234.46
92,Roupa 92,M,170.52
93,Roupa 93,G,2750.92
94,Roupa 94,G,1751.31
95,Roupa 95,M,3844.88
96,Roupa 96,PP,2484.04
97,Roupa 97,G,1914.71
98,Roupa 98,GG,40.54
99,Roupa 99,M,1559.13
100,Roupa 100,GG,2257.35
101,Roupa 101,PP,4436.18
102,Roupa 102,PP,3516.71
103,Roupa 103,PP,3147.77
104,Roupa 104,G,1524.72
105,Roupa 105,M,2128.97
106,Roupa 106,GG,1124.97
107,Roupa 107,G,4194.49
108,Roupa 108,GG,1161.67
109,Roupa 109,P,2670.74
110,Roupa 110,PP,3928.09
111,Roupa 111,PP,819.38
112,Roupa 112,PP,3576.5
113,Roupa 113,G,2447.64
114,Roupa 114,P,1676.97
115,Roupa 115,G,3167.99
116,Roupa 116,P,2613.56
117,Roupa 117,GG,79.23
118,Roupa 118,P,3089.93
119,Roupa 119,PP,4248.74
120,Roupa 120,G,4113.68
121,Roupa 121,M,2745.59
122,Roupa 122,G,1894.56
123,Roupa 123,G,4601.03
124,Roupa 124,P,2047.88
125,Roupa 125,G,4759.49
126,Roupa 126,GG,4776.34
127,Roupa 127,GG,3763.76
128,Roupa 128,GG,3140.24
129,Roupa 129,GG,4735.41
130,Roupa 130,GG,421.61
131,Roupa 131,P,1931.99
132,Roupa 132,G,2622.14
133,Roupa 133,P,3343.58
134,Roupa 134,P,1045.6
135,Roupa 135,G,489.0
136,Roupa 136,M,3262.15
137,Roupa 137,GG,4648.24
138,Roupa 138,P,2662.65
139,Roupa 139,P,1413.09
140,Roupa 140,PP,4688.34
141,Roupa 141,M,3301.03
142,Roupa 142,G,2128.8
143,Roupa 143,P,4575.64
144,Roupa 144,G,1007.27
145,Roupa 145,M,4636.36
146,Roupa 146,PP,2828.43
147,Roupa 147,GG,234.54
148,Roupa 148,GG,1041.53
149,Roupa 149,G,3170.02
150,Roupa 150,GG,1600.16
151,Roupa 151,P,1755.91
152,Roupa 152,GG,1446.13
153,Roupa 153,PP,4307.95
154,Roupa 154,G,3509.18
155,Roupa 155,M,1237.91
156,Roupa 156,GG,1861.99
157,Roupa 157,G,952.96
158,Roupa 158,M,3237.67
159,Roupa 159,PP,1414.63
160,Roupa 160,PP,2391.17
161,Roupa 161,M,4730.66
162,Roupa 162,PP,3051.17
163,Roupa 163,PP,184.7
164,Roupa 164,M,424.02
165,Roupa 165,P,914.09
166,Roupa 166,G,4226.31
167,Roupa 167,G,1299.34
168,Roupa 168,P,1937.41
169,Roupa 169,GG,4497.1
170,Roupa 170,GG,4092.6
171,Roupa 171,P,4960.65
172,Roupa 172,P,3554.07
173,Roupa 173,GG,2212.05
174,Roupa 174,P,2110.67
175,Roupa 175,G,2405.04
176,Roupa 176,GG,4288.32
177,Roupa 177,G,792.56
178,Roupa 178,G,2132.55
179,Roupa 179,M,1071.36
180,Roupa 180,G,3676.14
181,Roupa 181,G,4959.86
182,Roupa 182,P,2846.48
183,Roupa 183,G,4410.96
184,Roupa 184,P,4075.84
185,Roupa 185,P,1924.94
186,Roupa 186,P,171.26
187,Roupa 187,G,4675.92
188,Roupa 188,P,232.71
189,Roupa 189,M,4555.83
190,Roupa 190,PP,3229.72
191,Roupa 191,GG,1778.4
192,Roupa 192,GG,4640.15
193,Roupa 193,GG,1678.31
194,Roupa 194,P,1164.09
195,Roupa 195,GG,4905.66
196,Roupa 196,G,1961.7
197,Roupa 197,PP,4360.12
198,Roupa 198,PP,944.97
199,Roupa 199,GG,1301.73
200,Roupa 200,GG,2337.83
201,Roupa 201,P,4015.41
202,Roupa 202,M,4264.9
203,Roupa 203,PP,469.39
204,Roupa 204,G,3335.43
205,Roupa 205,GG,943.26
206,Roupa 206,P,116.68
207,Roupa 207,G,110.54
208,Roupa 208,G,2320.8
209,Roupa 209,G,119.23
210,Roupa 210,PP,173.65
211,Roupa 211,M,925.06
212,Roupa 212,M,3204.06
213,Roupa 213,M,2633.16
214,Roupa 214,G,4898.05
215,Roupa 215,GG,791.04
216,Roupa 216,GG,455.0
217,Roupa 217,GG,125.97
218,Roupa 218,P,4727.58
219,Roupa 219,GG,4930.56
220,Roupa 220,GG,2391.5
221,Roupa 221,PP,3480.25
222,Roupa 222,PP,1319.63
223,Roupa 223,GG,96.88
224,Roupa 224,M,4984.59
225,Roupa 225,P,3987.08
226,Roupa 226,G,3929.12
227,Roupa 227,M,4774.39
228,Roupa 228,M,2239.56
229,Roupa 229,P,789.13
230,Roupa 230,GG,4038.34
231,Roupa 231,G,2372.71
232,Roupa 232,GG,2239.92
233,Roupa 233,GG,4746.31
234,Roupa 234,GG,4989.57
235,Roupa 235,G,2190.37
236,Roupa 236,PP,68.66
237,Roupa 237,PP,2535.15
238,Roupa 238,P,2042.19
239,Roupa 239,GG,2259.22
240,Roupa 240,G,4643.91
241,Roupa 241,P,3663.44
242,Roupa 242,G,2210.77
243,Roupa 243,PP,1384.3
244,Roupa 244,M,4460.46
245,Roupa 245,GG,2106.04
246,Roupa 246,M,2093.42
247,Roupa 247,PP,1345.75
248,Roupa 248,GG,2532.62
249,Roupa 249,M,1873.13
250,Roupa 250,GG,4512.91
251,Roupa 251,GG,344.03
252,Roupa 252,GG,3281.73
253,Roupa 253,P,230.72
254,Roupa 254,GG,4027.61
255,Roupa 255,M,4110.82
256,Roupa 256,PP,52.61
257,Roupa 257,GG,3198.77
258,Roupa 258,PP,444.93
259,Roupa 259,GG,1053.39
260,Roupa 260,M,706.32
261,Roupa 261,G,691.74
262,Roupa 262,P,4184.86
263,Roupa 263,P,4211.81
264,Roupa 264,PP,1217.7
265,Roupa 265,G,2466.9
266,Roupa 266,GG,1841.28
267,Roupa 267,P,3831.4
268,Roupa 268,P,925.49
269,Roupa 269,M,2718.15
270,Roupa 270,GG,865.24
271,Roupa 271,PP,1142.43
272,Roupa 272,GG,1319.51
273,Roupa 273,G,1475.03
274,Roupa 274,G,4755.26
275,Roupa 275,M,3623.45
276,Roupa 276,P,1443.27
277,Roupa 277,P,3886.98
278,Roupa 278,M,269.46
279,Roupa 279,P,1849.9
280,Roupa 280,M,2667.15
281,Roupa 281,G,4716.63
282,Roupa 282,M,2798.02
283,Roupa 283,GG,285.23
284,Roupa 284,GG,1341.99
285,Roupa 285,G,1704.08
286,Roupa 286,GG,1037.01
287,Roupa 287,PP,2342.33
288,Roupa 288,P,1477.25
289,Roupa 289,G,2976.41
290,Roupa 290,P,3092.74
291,Roupa 291,GG,3104.65
292,Roupa 292,P,3743.64
293,Roupa 293,PP,3053.59
294,Roupa 294,G,1563.69
295,Roupa 295,G,750.19
296,Roupa 296,G,903.13
297,Roupa 297,PP,2708.29
298,Roupa 298,PP,4154.9
299,Roupa 299,GG,2741.23
300,Roupa 300,P,1462.34
301,Roupa 301,M,4518.11
302,Roupa 302,GG,374.72
303,Roupa 303,PP,58.59
304,Roupa 304,M,3786.89
305,Roupa 305,M,1099.49
306,Roupa 306,M,227.64
307,Roupa 307,P,3627.35
308,Roupa 308,M,196.54
309,Roupa 309,P,3039.6
310,Roupa 310,M,4834.95
311,Roupa 311,M,1431.73
312,Roupa 312,M,186.79
313,Roupa 313,PP,3016.48
314,Roupa 314,P,172.88
315,Roupa 315,PP,3673.53
316,Roupa 316,GG,1819.55
317,Roupa 317,PP,3779.97
318,Roupa 318,G,3779.36
319,Roupa 319,G,1717.72
320,Roupa 320,G,1493.21
321,Roupa 321,P,3898.19
322,Roupa 322,GG,2746.17
323,Roupa 323,M,3784.14
324,Roupa 324,G,3805.84
325,Roupa 325,PP,369.77
326,Roupa 326,GG,810.94
327,Roupa 327,PP,542.68
328,Roupa 328,P,2497.73
329,Roupa 329,PP,3881.19
330,Roupa 330,PP,4611.82
331,Roupa 331,G,1348.98
332,Roupa 332,M,1335.2
333,Roupa 333,PP,3160.64
334,Roupa 334,M,3913.11
335,Roupa 335,G,1531.66
336,Roupa 336,GG,3221.76
337,Roupa 337,G,658.1
338,Roupa 338,PP,1766.98
339,Roupa 339,G,2408.02
340,Roupa 340,GG,499.92
341,Roupa 341,P,1384.6
342,Roupa 342,GG,3357.21
343,Roupa 343,G,2466.4
344,Roupa 344,GG,147.93
345,Roupa 345,G,4571.29
346,Roupa 346,M,283.23
347,Roupa 347,GG,964.19
348,Roupa 348,GG,3977.2
349,Roupa 349,G,313.43
350,Roupa 350,G,4976.41
351,Roupa 351,M,524.54
352,Roupa 352,M,3931.07
353,Roupa 353,PP,3716.71
354,Roupa 354,M,726.16
355,Roupa 355,G,2976.18
356,Roupa 356,G,259.47
357,Roupa 357,P,3767.22
358,Roupa 358,P,1423.79
359,Roupa 359,P,1616.65
360,Roupa 360,G,1316.42
361,Roupa 361,P,1576.68
362,Roupa 362,PP,3136.54
363,Roupa 363,G,3278.67
364,Roupa 364,P,3665.3
365,Roupa 365,PP,3843.21
366,Roupa 366,PP,301.17
367,Roupa 367,M,4989.03
368,Roupa 368,M,4501.52
369,Roupa 369,P,442.81
370,Roupa 370,PP,4862.74
371,Roupa 371,M,4761.16
372,Roupa 372,P,3810.98
373,Roupa 373,M,4353.26
374,Roupa 374,PP,3891.32
375,Roupa 375,P,1106.99
376,Roupa 376,PP,3815.81
377,Roupa 377,GG,4650.58
378,Roupa 378,GG,4182.42
379,Roupa 379,GG,3135.77
380,Roupa 380,GG,4394.5
381,Roupa 381,P,2804.43
382,Roupa 382,G,1079.72
383,Roupa 383,GG,311.97
384,Roupa 384,G,4336.52
385,Roupa 385,P,2192.37
386,Roupa 386,G,4565.37
387,Roupa 387,P,255.44
388,Roupa 388,PP,1928.73
389,Roupa 389,GG,4964.09
390,Roupa 390,PP,3523.72
391,Roupa 391,M,4238.98
392,Roupa 392,G,2952.72
393,Roupa 393,GG,846.9
394,Roupa 394,GG,2589.44
395,Roupa 395,PP,1796.33
396,Roupa 396,G,4457.44
397,Roupa 397,PP,2200.76
398,Roupa 398,M,4586.27
399,Roupa 399,P,1487.93
400,Roupa 400,GG,4387.54
401,Roupa 401,PP,633.62
402,Roupa 402,PP,378.43
403,Roupa 403,M,2612.88
404,Roupa 404,PP,3572.38
405,Roupa 405,M,3093.13
406,Roupa 406,M,3860.89
407,Roupa 407,GG,988.54
408,Roupa 408,GG,4076.85
409,Roupa 409,PP,1194.86
410,Roupa 410,G,513.02
411,Roupa 411,M,1809.7
412,Roupa 412,M,987.64
413,Roupa 413,M,4372.46
414,Roupa 414,GG,3642.94
415,Roupa 415,GG,619.69
416,Roupa 416,GG,4438.16
417,Roupa 417,GG,241.51
418,Roupa 418,G,4531.69
419,Roupa 419,M,1882.77
420,Roupa 420,PP,216.92
421,Roupa 421,M,4477.68
422,Roupa 422,M,1808.2
423,Roupa 423,G,260.47
424,Roupa 424,PP,4182.84
425,Roupa 425,P,1752.4
426,Roupa 426,P,3936.14
427,Roupa 427,G,4607.83
428,Roupa 428,PP,3518.87
429,Roupa 429,P,3584.84
430,Roupa 430,G,643.54
431,Roupa 431,G,1989.9
432,Roupa 432,P,2304.1
433,Roupa 433,GG,2587.7
434,Roupa 434,M,3025.77
435,Roupa 435,GG,3692.71
436,Roupa 436,GG,4582.72
437,Roupa 437,P,3863.16
438,Roupa 438,G,4592.84
439,Roupa 439,P,3631.16
440,Roupa 440,P,3852.86
441,Roupa 441,M,28.67
442,Roupa 442,P,3245.55
443,Roupa 443,PP,3064.48
444,Roupa 444,G,2589.16
445,Roupa 445,PP,2172.19
446,Roupa 446,P,4330.34
447,Roupa 447,M,4333.87
448,Roupa 448,PP,4943.25
449,Roupa 449,P,50.36
450,Roupa 450,GG,3334.7
451,Roupa 451,G,4357.13
452,Roupa 452,M,3506.09
453,Roupa 453,P,782.31
454,Roupa 454,G,4879.73
455,Roupa 455,GG,2672.31
456,Roupa 456,M,2897.31
457,Roupa 457,P,1736.68
458,Roupa 458,GG,683.93
459,Roupa 459,P,840.21
460,Roupa 460,M,3215.39
461,Roupa 461,M,1041.34
462,Roupa 462,P,2266.44
463,Roupa 463,GG,2804.1
464,Roupa 464,G,1744.72
465,Roupa 465,GG,2759.36
466,Roupa 466,GG,4782.5
467,Roupa 467,GG,409.95
468,Roupa 468,GG,4473.7
469,Roupa 469,M,1158.79
470,Roupa 470,G,2497.77
471,Roupa 471,G,690.05
472,Roupa 472,PP,4708.26
473,Roupa 473,G,2541.31
474,Roupa 474,M,3919.16
475,Roupa 475,P,550.56
476,Roupa 476,M,3789.33
477,Roupa 477,P,4973.19
478,Roupa 478,GG,2601.8
479,Roupa 479,M,453.26
480,Roupa 480,P,631.42
481,Roupa 481,PP,1002.68
482,Roupa 482,PP,215.53
483,Roupa 483,M,3978.34
484,Roupa 484,GG,932.94
485,Roupa 485,GG,2307.01
486,Roupa 486,M,290.67
487,Roupa 487,M,880.64
488,Roupa 488,P,1655.71
489,Roupa 489,PP,614.22
490,Roupa 490,G,198.24
491,Roupa 491,G,4496.63
492,Roupa 492,PP,507.79
493,Roupa 493,G,2430.89
494,Roupa 494,PP,233.56
495,Roupa 495,GG,4360.06
496,Roupa 496,GG,393.75
497,Roupa 497,GG,4417.33
498,Roupa 498,P,3312.16
499,Roupa 499,P,2367.81
500,Roupa 500,P,988.35
501,Roupa 501,GG,2503.36
502,Roupa 502,G,1002.41
503,Roupa 503,G,1687.08
504,Roupa 504,PP,1905.33
505,Roupa 505,PP,3597.91
506,Roupa 506,M,1859.45
507,Roupa 507,GG,1915.73
508,Roupa 508,PP,4561.04
509,Roupa 509,M,723.39
510,Roupa 510,M,454.27
511,Roupa 511,GG,4146.19
512,Roupa 512,G,4941.71
513,Roupa 513,GG,2107.92
514,Roupa 514,GG,1426.29
515,Roupa 515,G,1133.47
516,Roupa 516,M,3955.74
517,Roupa 517,G,2872.5
518,Roupa 518,G,2907.73
519,Roupa 519,M,3531.64
520,Roupa 520,M,404.32
521,Roupa 521,M,1037.76
522,Roupa 522,P,4084.52
523,Roupa 523,P,1768.51
524,Roupa 524,PP,464.87
525,Roupa 525,M,4726.46
526,Roupa 526,M,2609.15
527,Roupa 527,M,479.79
528,Roupa 528,M,767.09
529,Roupa 529,PP,1018.5
530,Roupa 530,PP,3906.52
531,Roupa 531,M,935.0
532,Roupa 532,G,3004.52
533,Roupa 533,M,816.61
534,Roupa 534,GG,249.59
535,Roupa 535,GG,4396.83
536,Roupa 536,PP,985.48
537,Roupa 537,PP,1637.73
538,Roupa 538,GG,1015.05
539,Roupa 539,PP,4760.72
540,Roupa 540,G,71.6
541,Roupa 541,G,1878.45
542,Roupa 542,GG,1961.29
543,Roupa 543,PP,1060.02
544,Roupa 544,G,873.84
545,Roupa 545,PP,3735.59
546,Roupa 546,GG,4859.04
547,Roupa 547,M,1911.63
548,Roupa 548,GG,2480.65
549,Roupa 549,G,219.18
550,Roupa 550,GG,1195.71
551,Roupa 551,P,1430.87
552,Roupa 552,G,3497.31
553,Roupa 553,PP,1324.79
554,Roupa 554,M,1220.28
555,Roupa 555,G,959.15
556,Roupa 556,GG,3750.76
557,Roupa 557,GG,1642.0
558,Roupa 558,G,4733.77
559,Roupa 559,GG,1109.92
560,Roupa 560,PP,3306.73
561,Roupa 561,G,1466.51
562,Roupa 562,P,726.38
563,Roupa 563,G,2063.55
564,Roupa 564,G,2139.09
565,Roupa 565,G,1778.48
566,Roupa 566,M,3874.95
567,Roupa 567,P,2075.14
568,Roupa 568,P,2427.84
569,Roupa 569,M,2595.73
570,Roupa 570,P,1268.44
571,Roupa 571,M,3082.81
572,Roupa 572,P,2073.05
573,Roupa 573,M,1989.61
574,Roupa 574,PP,3694.36
575,Roupa 575,P,3412.87
576,Roupa 576,PP,3181.38
577,Roupa 577,M,4562.63
578,Roupa 578,M,4505.7
579,Roupa 579,PP,1423.32
580,Roupa 580,P,1342.13
581,Roupa 581,PP,4855.53
582,Roupa 582,G,4883.72
583,Roupa 583,GG,676.7
584,Roupa 584,G,2328.33
585,Roupa 585,PP,4760.37
586,Roupa 586,M,2861.19
587,Roupa 587,GG,3051.76
588,Roupa 588,GG,2334.52
589,Roupa 589,PP,2784.17
590,Roupa 590,GG,2653.42
591,Roupa 591,GG,1520.92
592,Roupa 592,PP,3436.99
593,Roupa 593,GG,1280.13
594,Roupa 594,GG,1874.57
595,Roupa 595,P,2897.82
596,Roupa 596,GG,500.37
597,Roupa 597,GG,2524.44
598,Roupa 598,G,4754.47
599,Roupa 599,G,3465.28
600,Roupa 600,GG,4325.1
601,Roupa 601,GG,1925.19
602,Roupa 602,P,4997.69
603,Roupa 603,M,3470.43
604,Roupa 604,M,980.73
605,Roupa 605,M,4708.14
606,Roupa 606,GG,4695.0
607,Roupa 607,G,137.59
608,Roupa 608,P,4805.52
609,Roupa 609,P,1599.29
610,Roupa 610,P,1128.55
611,Roupa 611,GG,793.97
612,Roupa 612,G,3699.01
613,Roupa 613,P,1583.08
614,Roupa 614,G,3572.21
615,Roupa 615,P,791.32
616,Roupa 616,GG,516.0
617,Roupa 617,P,1540.44
618,Roupa 618,M,3452.94
619,Roupa 619,PP,16.1
620,Roupa 620,G,806.02
621,Roupa 621,PP,329.01
622,Roupa 622,GG,3624.23
623,Roupa 623,GG,1785.32
624,Roupa 624,P,4762.55
625,Roupa 625,M,4321.82
626,Roupa 626,PP,4040.42
627,Roupa 627,PP,4640.97
628,Roupa 628,G,3230.18
629,Roupa 629,P,4802.63
630,Roupa 630,GG,4411.44
631,Roupa 631,P,1893.27
632,Roupa 632,G,3507.41
633,Roupa 633,M,3776.42
634,Roupa 634,M,574.36
635,Roupa 635,GG,3505.94
636,Roupa 636,PP,820.7
637,Roupa 637,M,1647.08
638,Roupa 638,GG,3666.16
639,Roupa 639,GG,1871.74
640,Roupa 640,PP,302.79
641,Roupa 641,P,3166.23
642,Roupa 642,G,3338.02
643,Roupa 643,M,4184.93
644,Roupa 644,GG,4878.36
645,Roupa 645,GG,929.27
646,Roupa 646,M,4519.57
647,Roupa 647,P,3744.84
648,Roupa 648,PP,2925.88
649,Roupa 649,P,793.71
650,Roupa 650,G,113.11
651,Roupa 651,M,2903.03
652,Roupa 652,P,4464.14
653,Roupa 653,M,1461.29
654,Roupa 654,P,1086.65
655,Roupa 655,M,3158.54
656,Roupa 656,P,651.43
657,Roupa 657,G,4416.84
658,Roupa 658,PP,3460.42
659,Roupa 659,G,4803.29
660,Roupa 660,GG,1510.65
661,Roupa 661,P,1745.02
662,Roupa 662,G,1091.08
663,Roupa 663,P,298.0
664,Roupa 664,M,2016.08
665,Roupa 665,M,1695.84
666,Roupa 666,G,3688.04
667,Roupa 667,GG,4247.94
668,Roupa 668,PP,4296.32
669,Roupa 669,P,72.94
670,Roupa 670,M,4922.44
671,Roupa 671,GG,2302.11
672,Roupa 672,P,4662.36
673,Roupa 673,GG,3612.18
674,Roupa 674,PP,218.95
675,Roupa 675,PP,4785.31
676,Roupa 676,M,1729.4
677,Roupa 677,G,624.95
678,Roupa 678,G,4608.65
679,Roupa 679,M,1297.85
680,Roupa 680,P,3307.82
681,Roupa 681,PP,2720.15
682,Roupa 682,P,2944.18
683,Roupa 683,M,362.17
684,Roupa 684,G,4638.84
685,Roupa 685,PP,1461.92
686,Roupa 686,G,2373.13
687,Roupa 687,PP,1202.35
688,Roupa 688,GG,2443.48
689,Roupa 689,G,2980.76
690,Roupa 690,G,2658.89
691,Roupa 691,G,742.89
692,Roupa 692,G,3785.08
693,Roupa 693,M,1815.83
694,Roupa 694,M,4244.11
695,Roupa 695,PP,774.53
696,Roupa 696,PP,4602.36
697,Roupa 697,P,4576.11
698,Roupa 698,PP,4502.41
699,Roupa 699,M,798.81
700,Roupa 700,P,1022.07
701,Roupa 701,GG,1180.57
702,Roupa 702,GG,58.44
703,Roupa 703,P,1248.28
704,Roupa 704,PP,3155.81
705,Roupa 705,M,4268.13
706,Roupa 706,PP,3001.28
707,Roupa 707,GG,402.2
708,Roupa 708,PP,3074.58
709,Roupa 709,M,4505.45
710,Roupa 710,GG,1634.14
711,Roupa 711,G,3034.83
712,Roupa 712,GG,3496.4
713,Roupa 713,GG,4296.32
714,Roupa 714,P,2472.81
715,Roupa 715,P,2445.67
716,Roupa 716,PP,4573.44
717,Roupa 717,GG,4792.16
718,Roupa 718,PP,715.1
719,Roupa 719,G,2136.17
720,Roupa 720,M,1511.66
721,Roupa 721,M,1834.22
722,Roupa 722,M,969.47
723,Roupa 723,PP,4036.55
724,Roupa 724,M,2981.78
725,Roupa 725,PP,1178.61
726,Roupa 726,M,1738.13
727,Roupa 727,M,3952.7
728,Roupa 728,M,3236.66
729,Roupa 729,M,3287.98
730,Roupa 730,M,25.6
731,Roupa 731,G,4196.37
732,Roupa 732,P,3944.59
733,Roupa 733,P,4023.96
734,Roupa 734,P,3563.67
735,Roupa 735,PP,612.73
736,Roupa 736,P,3899.9
737,Roupa 737,GG,1694.4
738,Roupa 738,G,1333.47
739,Roupa 739,G,897.84
740,Roupa 740,GG,380.33
741,Roupa 741,M,2294.25
742,Roupa 742,PP,3000.56
743,Roupa 743,P,3682.95
744,Roupa 744,G,285.4
745,Roupa 745,PP,4482.85
746,Roupa 746,M,1982.7
747,Roupa 747,M,3355.33
748,Roupa 748,P,946.5
749,Roupa 749,M,827.4
750,Roupa 750,PP,608.39
751,Roupa 751,M,4454.79
752,Roupa 752,M,2030.64
753,Roupa 753,M,3559.02
754,Roupa 754,PP,666.74
755,Roupa 755,G,3245.29
756,Roupa 756,PP,1976.44
757,Roupa 757,PP,1148.55
758,Roupa 758,GG,4370.59
759,Roupa 759,GG,738.69
760,Roupa 760,GG,2063.56
761,Roupa 761,PP,4912.42
762,Roupa 762,PP,4170.33
763,Roupa 763,M,4880.87
764,Roupa 764,M,3728.31
765,Roupa 765,PP,4190.25
766,Roupa 766,P,485.06
767,Roupa 767,GG,3434.42
768,Roupa 768,GG,3436.48
769,Roupa 769,M,2842.94
770,Roupa 770,P,4257.03
771,Roupa 771,M,2884.07
772,Roupa 772,GG,4457.85
773,Roupa 773,M,875.64
774,Roupa 774,PP,2883.39
775,Roupa 775,P,1826.31
776,Roupa 776,G,1961.72
777,Roupa 777,M,4456.5
778,Roupa 778,G,4725.34
779,Roupa 779,M,1913.17
780,Roupa 780,P,349.7
781,Roupa 781,P,1731.11
782,Roupa 782,M,3452.45
783,Roupa 783,G,463.92
784,Roupa 784,G,516.39
785,Roupa 785,G,1552.57
786,Roupa 786,G,3436.89
787,Roupa 787,M,3698.93
788,Roupa 788,G,1149.01
789,Roupa 789,GG,2269.41
790,Roupa 790,P,491.74
791,Roupa 791,GG,657.6
792,Roupa 792,P,1165.77
793,Roupa 793,P,1795.41
794,Roupa 794,GG,1681.09
795,Roupa 795,G,2312.69
796,Roupa 796,PP,895.34
797,Roupa 797,PP,2145.28
798,Roupa 798,P,3175.31
799,Roupa 799,M,1368.31
800,Roupa 800,M,2253.06
801,Roupa 801,GG,2085.5
802,Roupa 802,M,22.03
803,Roupa 803,P,2757.74
804,Roupa 804,M,2672.01
805,Roupa 805,G,3919.51
806,Roupa 806,M,3175.06
807,Roupa 807,PP,3604.3
808,Roupa 808,G,692.01
809,Roupa 809,GG,355.13
810,Roupa 810,GG,4010.72
811,Roupa 811,G,3867.81
812,Roupa 812,GG,591.97
813,Roupa 813,M,3624.57
814,Roupa 814,M,369.89
815,Roupa 815,G,2985.89
816,Roupa 816,GG,3725.13
817,Roupa 817,G,1063.49
818,Roupa 818,P,4974.73
819,Roupa 819,GG,2272.73
820,Roupa 820,GG,3931.99
821,Roupa 821,P,2180.28
822,Roupa 822,GG,1111.14
823,Roupa 823,M,1748.81
824,Roupa 824,P,4160.74
825,Roupa 825,GG,3613.12
826,Roupa 826,GG,2372.22
827,Roupa 827,PP,3763.43
828,Roupa 828,G,4920.44
829,Roupa 829,GG,2054.59
830,Roupa 830,P,62.16
831,Roupa 831,PP,2744.9
832,Roupa 832,P,1814.74
833,Roupa 833,P,1535.75
834,Roupa 834,M,3377.71
835,Roupa 835,PP,382.77
836,Roupa 836,P,2539.71
837,Roupa 837,G,2897.61
838,Roupa 838,PP,462.11
839,Roupa 839,PP,2476.32
840,Roupa 840,M,4225.79
841,Roupa 841,PP,887.17
842,Roupa 842,M,4281.39
843,Roupa 843,P,1677.99
844,Roupa 844,G,532.93
845,Roupa 845,G,1766.66
846,Roupa 846,GG,1580.57
847,Roupa 847,G,2478.87
848,Roupa 848,GG,1114.47
849,Roupa 849,GG,1395.35
850,Roupa 850,PP,860.73
851,Roupa 851,PP,1326.08
852,Roupa 852,M,1286.13
853,Roupa 853,GG,3616.97
854,Roupa 854,GG,3438.88
855,Roupa 855,PP,3555.44
856,Roupa 856,M,3122.9
857,Roupa 857,GG,3249.43
858,Roupa 858,M,2527.86
859,Roupa 859,GG,4968.13
860,Roupa 860,M,4300.87
861,Roupa 861,GG,1814.01
862,Roupa 862,GG,2709.22
